image:3.tif; rate:1.000000e-01; TVNLM-PSNR:24.030121; TVNLM-SSIM:0.767771; Tau:3.000000;
image:3.tif; rate:1.000000e-01; TVNLM-PSNR:24.155152; TVNLM-SSIM:0.771029; Tau:3.000000;
image:3.tif; rate:1.000000e-01; TVNLM-PSNR:24.261539; TVNLM-SSIM:0.774984; Tau:3.000000;
image:3.tif; rate:1.000000e-01; TVNLM-PSNR:24.330343; TVNLM-SSIM:0.777025; Tau:3.000000;
image:3.tif; rate:1.000000e-01; TVNLM-PSNR:24.365633; TVNLM-SSIM:0.778765; Tau:3.000000;
image:3.tif; rate:1.000000e-01; TVNLM-PSNR:24.454687; TVNLM-SSIM:0.780836; Tau:3.000000;
image:3.tif; rate:1.000000e-01; TVNLM-PSNR:24.483872; TVNLM-SSIM:0.781788; Tau:3.000000;
image:3.tif; rate:1.000000e-01; TVNLM-PSNR:24.575265; TVNLM-SSIM:0.784016; Tau:3.000000;
image:3.tif; rate:1.000000e-01; TVNLM-PSNR:24.620026; TVNLM-SSIM:0.785301; Tau:3.000000;
image:3.tif; rate:1.000000e-01; TVNLM-PSNR:24.652670; TVNLM-SSIM:0.786338; Tau:3.000000;
image:3.tif; rate:1.000000e-01; TVNLM-PSNR:24.644786; TVNLM-SSIM:0.786537; Tau:3.000000;
image:3.tif; rate:1.000000e-01; TVNLM-PSNR:24.554157; TVNLM-SSIM:0.793163; Tau:1.000000;
image:3.tif; rate:2.000000e-01; TVNLM-PSNR:28.794507; TVNLM-SSIM:0.888634; Tau:1.000000;
image:3.tif; rate:2.000000e-01; TVNLM-PSNR:28.771915; TVNLM-SSIM:0.888813; Tau:1.000000;
image:3.tif; rate:2.000000e-01; TVNLM-PSNR:29.393661; TVNLM-SSIM:0.896395; Tau:1.000000;
image:3.tif; rate:2.000000e-01; TVNLM-PSNR:29.535119; TVNLM-SSIM:0.898331; Tau:1.000000;
image:3.tif; rate:2.000000e-01; TVNLM-PSNR:29.547718; TVNLM-SSIM:0.898577; Tau:1.000000;
image:3.tif; rate:2.000000e-01; TVNLM-PSNR:29.303117; TVNLM-SSIM:0.895600; Tau:1.000000;
image:3.tif; rate:2.000000e-01; TVNLM-PSNR:29.353217; TVNLM-SSIM:0.896389; Tau:1.000000;
image:3.tif; rate:2.000000e-01; TVNLM-PSNR:29.225327; TVNLM-SSIM:0.894950; Tau:1.000000;
image:3.tif; rate:2.000000e-01; TVNLM-PSNR:29.321578; TVNLM-SSIM:0.895608; Tau:1.000000;
image:3.tif; rate:2.000000e-01; TVNLM-PSNR:29.167819; TVNLM-SSIM:0.893220; Tau:1.000000;
image:3.tif; rate:2.000000e-01; TVNLM-PSNR:29.172320; TVNLM-SSIM:0.892932; Tau:1.000000;
image:3.tif; rate:2.000000e-01; TVNLM-PSNR:28.587890; TVNLM-SSIM:0.889184; Tau:1.000000;
image:3.tif; rate:3.000000e-01; TVNLM-PSNR:31.650618; TVNLM-SSIM:0.930934; Tau:0.050000;
image:3.tif; rate:3.000000e-01; TVNLM-PSNR:32.307695; TVNLM-SSIM:0.937591; Tau:0.050000;
image:3.tif; rate:3.000000e-01; TVNLM-PSNR:32.229882; TVNLM-SSIM:0.937595; Tau:0.050000;
image:3.tif; rate:3.000000e-01; TVNLM-PSNR:31.865343; TVNLM-SSIM:0.935067; Tau:0.050000;
image:3.tif; rate:3.000000e-01; TVNLM-PSNR:32.180163; TVNLM-SSIM:0.937134; Tau:0.050000;
image:3.tif; rate:3.000000e-01; TVNLM-PSNR:31.355174; TVNLM-SSIM:0.929006; Tau:0.050000;
image:3.tif; rate:3.000000e-01; TVNLM-PSNR:31.624398; TVNLM-SSIM:0.931142; Tau:0.050000;
image:3.tif; rate:3.000000e-01; TVNLM-PSNR:31.797267; TVNLM-SSIM:0.933360; Tau:0.050000;
image:3.tif; rate:3.000000e-01; TVNLM-PSNR:31.493268; TVNLM-SSIM:0.930937; Tau:0.050000;
image:3.tif; rate:3.000000e-01; TVNLM-PSNR:31.401277; TVNLM-SSIM:0.929332; Tau:0.050000;
image:3.tif; rate:3.000000e-01; TVNLM-PSNR:31.782653; TVNLM-SSIM:0.932866; Tau:0.050000;
