image:4.tif; rate:1.000000e-01; TVNLM-PSNR:25.931415; TVNLM-SSIM:0.770577; Tau:3.000000;
image:4.tif; rate:1.000000e-01; TVNLM-PSNR:26.063578; TVNLM-SSIM:0.775346; Tau:3.000000;
image:4.tif; rate:1.000000e-01; TVNLM-PSNR:26.222062; TVNLM-SSIM:0.780572; Tau:3.000000;
image:4.tif; rate:1.000000e-01; TVNLM-PSNR:26.312128; TVNLM-SSIM:0.783263; Tau:3.000000;
image:4.tif; rate:1.000000e-01; TVNLM-PSNR:26.443791; TVNLM-SSIM:0.787733; Tau:3.000000;
image:4.tif; rate:1.000000e-01; TVNLM-PSNR:26.600409; TVNLM-SSIM:0.791290; Tau:3.000000;
image:4.tif; rate:1.000000e-01; TVNLM-PSNR:26.714982; TVNLM-SSIM:0.794214; Tau:3.000000;
image:4.tif; rate:1.000000e-01; TVNLM-PSNR:26.750273; TVNLM-SSIM:0.795446; Tau:3.000000;
image:4.tif; rate:1.000000e-01; TVNLM-PSNR:26.826880; TVNLM-SSIM:0.797345; Tau:3.000000;
image:4.tif; rate:1.000000e-01; TVNLM-PSNR:27.027895; TVNLM-SSIM:0.801514; Tau:3.000000;
image:4.tif; rate:1.000000e-01; TVNLM-PSNR:27.070102; TVNLM-SSIM:0.802823; Tau:3.000000;
image:4.tif; rate:1.000000e-01; TVNLM-PSNR:26.963262; TVNLM-SSIM:0.811559; Tau:1.000000;
image:4.tif; rate:2.000000e-01; TVNLM-PSNR:30.579157; TVNLM-SSIM:0.876260; Tau:1.000000;
image:4.tif; rate:2.000000e-01; TVNLM-PSNR:30.993874; TVNLM-SSIM:0.880349; Tau:1.000000;
image:4.tif; rate:2.000000e-01; TVNLM-PSNR:30.751071; TVNLM-SSIM:0.877657; Tau:1.000000;
image:4.tif; rate:2.000000e-01; TVNLM-PSNR:31.132551; TVNLM-SSIM:0.881291; Tau:1.000000;
image:4.tif; rate:2.000000e-01; TVNLM-PSNR:31.734153; TVNLM-SSIM:0.888072; Tau:1.000000;
image:4.tif; rate:2.000000e-01; TVNLM-PSNR:31.709037; TVNLM-SSIM:0.887501; Tau:1.000000;
image:4.tif; rate:2.000000e-01; TVNLM-PSNR:31.678242; TVNLM-SSIM:0.886497; Tau:1.000000;
image:4.tif; rate:2.000000e-01; TVNLM-PSNR:31.614078; TVNLM-SSIM:0.885207; Tau:1.000000;
image:4.tif; rate:2.000000e-01; TVNLM-PSNR:31.568415; TVNLM-SSIM:0.883986; Tau:1.000000;
image:4.tif; rate:2.000000e-01; TVNLM-PSNR:31.469202; TVNLM-SSIM:0.882078; Tau:1.000000;
image:4.tif; rate:2.000000e-01; TVNLM-PSNR:31.359475; TVNLM-SSIM:0.880022; Tau:1.000000;
image:4.tif; rate:2.000000e-01; TVNLM-PSNR:31.163637; TVNLM-SSIM:0.887417; Tau:1.000000;
image:4.tif; rate:3.000000e-01; TVNLM-PSNR:32.682957; TVNLM-SSIM:0.912729; Tau:0.050000;
image:4.tif; rate:3.000000e-01; TVNLM-PSNR:33.799973; TVNLM-SSIM:0.920741; Tau:0.050000;
image:4.tif; rate:3.000000e-01; TVNLM-PSNR:33.290036; TVNLM-SSIM:0.916366; Tau:0.050000;
image:4.tif; rate:3.000000e-01; TVNLM-PSNR:33.882797; TVNLM-SSIM:0.920330; Tau:0.050000;
image:4.tif; rate:3.000000e-01; TVNLM-PSNR:33.434172; TVNLM-SSIM:0.916076; Tau:0.050000;
image:4.tif; rate:3.000000e-01; TVNLM-PSNR:33.367457; TVNLM-SSIM:0.914798; Tau:0.050000;
image:4.tif; rate:3.000000e-01; TVNLM-PSNR:34.193023; TVNLM-SSIM:0.919598; Tau:0.050000;
image:4.tif; rate:3.000000e-01; TVNLM-PSNR:34.066810; TVNLM-SSIM:0.917284; Tau:0.050000;
