RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,1.tif, 18.988725, 0.282847 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,2.tif, 18.287661, 0.262282 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,3.tif, 17.742955, 0.239978 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,4.tif, 21.278896, 0.306406 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,5.tif, 19.778526, 0.254167 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,6.tif, 18.300630, 0.259299 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,7.tif, 15.281296, 0.187252 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,8.tif, 19.054114, 0.247234 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00238.bmp, 12.700679, 0.183293 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00467.bmp, 16.148051, 0.215200 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00641.bmp, 20.054602, 0.278865 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00766.bmp, 15.943775, 0.221309 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,00767.bmp, 19.648238, 0.250892 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01034.bmp, 21.884274, 0.310598 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01631.bmp, 18.566220, 0.276884 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,01660.bmp, 18.300407, 0.261604 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02827.bmp, 20.894858, 0.305259 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,02913.bmp, 19.686118, 0.270528 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03083.bmp, 18.511648, 0.268246 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03581.bmp, 21.579305, 0.302694 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03766.bmp, 19.359520, 0.260877 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,03907.bmp, 21.205345, 0.247031 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04134.bmp, 20.085258, 0.256068 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04576.bmp, 16.709292, 0.204101 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Bilateral,04582.bmp, 16.325526, 0.228931 
