RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,1.tif, 20.512384, 0.369230 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,2.tif, 23.960020, 0.572556 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,3.tif, 20.829769, 0.374857 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,4.tif, 28.979913, 0.751022 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,5.tif, 26.186338, 0.610425 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,6.tif, 23.993554, 0.583590 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,7.tif, 21.255407, 0.547317 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,8.tif, 23.571464, 0.555551 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00238.bmp, 13.761765, 0.314002 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00467.bmp, 22.545145, 0.608770 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00641.bmp, 23.878586, 0.529117 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00766.bmp, 19.894933, 0.415556 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00767.bmp, 25.394154, 0.570434 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01034.bmp, 31.993264, 0.830709 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01631.bmp, 23.001258, 0.502950 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01660.bmp, 25.673762, 0.715694 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02827.bmp, 24.131734, 0.507949 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02913.bmp, 23.090583, 0.485531 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03083.bmp, 22.607677, 0.498327 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03581.bmp, 28.297567, 0.709008 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03766.bmp, 24.346432, 0.622992 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03907.bmp, 26.799596, 0.587418 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04134.bmp, 26.263698, 0.635561 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04576.bmp, 23.080640, 0.498029 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04582.bmp, 21.796920, 0.518169 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04694.bmp, 27.456468, 0.696866 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04695.bmp, 28.375229, 0.688715 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,04699.bmp, 28.974735, 0.731111 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00001.bmp, 24.477344, 0.508514 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00004.bmp, 12.902175, 0.126310 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00013.bmp, 17.780124, 0.351847 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00021.bmp, 21.346998, 0.399402 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00026.bmp, 23.263265, 0.462468 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00102.bmp, 19.704454, 0.495819 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00135.bmp, 20.403026, 0.376906 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00883.bmp, 24.705270, 0.510607 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00888.bmp, 21.123164, 0.473056 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00947.bmp, 14.502360, 0.232994 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01068.bmp, 24.303402, 0.545039 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,01712.bmp, 16.440572, 0.250485 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02174.bmp, 22.690998, 0.451747 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02748.bmp, 20.326774, 0.456841 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02771.bmp, 21.121713, 0.385339 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,02834.bmp, 24.369433, 0.519818 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03427.bmp, 19.453052, 0.361087 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03769.bmp, 20.007416, 0.371754 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03903.bmp, 23.353955, 0.492275 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,03945.bmp, 18.961545, 0.454194 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00191.bmp, 26.702339, 0.687824 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00209.bmp, 28.392514, 0.730552 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00310.bmp, 24.008823, 0.543381 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00348.bmp, 19.179481, 0.525150 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00356.bmp, 22.725900, 0.502121 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00510.bmp, 22.490703, 0.497916 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00566.bmp, 25.208238, 0.646878 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00639.bmp, 19.068939, 0.422295 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00643.bmp, 19.156654, 0.365311 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, Gauss,00760.bmp, 21.780435, 0.523467 
