RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,1.tif, 24.052171, 0.587395 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,2.tif, 24.920807, 0.610274 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,3.tif, 25.064866, 0.596074 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,4.tif, 30.450588, 0.758607 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,5.tif, 29.633406, 0.725303 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,6.tif, 25.715640, 0.634282 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,7.tif, 23.515945, 0.617986 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,8.tif, 27.346874, 0.738701 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00238.bmp, 13.803173, 0.293500 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00467.bmp, 21.069286, 0.507228 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00641.bmp, 23.318153, 0.478310 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00766.bmp, 20.894231, 0.476271 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00767.bmp, 25.331801, 0.561781 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01034.bmp, 31.484900, 0.778005 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01631.bmp, 23.212839, 0.503342 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01660.bmp, 23.240862, 0.568132 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02827.bmp, 25.573270, 0.572140 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02913.bmp, 22.700464, 0.442479 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03083.bmp, 23.312831, 0.508185 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03581.bmp, 29.310007, 0.702752 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03766.bmp, 22.409793, 0.473796 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03907.bmp, 27.225178, 0.634785 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04134.bmp, 30.922125, 0.771307 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04576.bmp, 25.834739, 0.685847 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04582.bmp, 22.260910, 0.523491 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04694.bmp, 27.808729, 0.719058 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04695.bmp, 28.348143, 0.711667 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,04699.bmp, 28.286157, 0.711592 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00001.bmp, 29.479848, 0.709738 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00004.bmp, 14.515532, 0.227023 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00013.bmp, 17.901328, 0.367416 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00021.bmp, 25.164644, 0.602745 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00026.bmp, 25.603539, 0.650481 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00102.bmp, 21.512493, 0.569758 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00135.bmp, 21.562337, 0.437935 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00883.bmp, 27.397807, 0.684563 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00888.bmp, 21.146486, 0.468138 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00947.bmp, 14.249620, 0.235338 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01068.bmp, 25.181275, 0.575401 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01712.bmp, 16.710160, 0.307414 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02174.bmp, 24.999172, 0.564206 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02748.bmp, 24.686506, 0.641036 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02771.bmp, 23.208552, 0.502470 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02834.bmp, 26.601346, 0.637070 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03427.bmp, 20.539427, 0.433768 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03769.bmp, 21.138241, 0.435122 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03903.bmp, 25.477040, 0.656221 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03945.bmp, 21.512760, 0.573401 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00191.bmp, 28.225168, 0.740579 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00209.bmp, 28.104166, 0.724501 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00310.bmp, 25.311112, 0.641129 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00348.bmp, 18.128104, 0.467018 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00356.bmp, 25.036501, 0.607099 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00510.bmp, 23.997421, 0.561594 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00566.bmp, 26.240475, 0.713720 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00639.bmp, 20.406130, 0.485535 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00643.bmp, 20.603426, 0.448835 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00760.bmp, 21.873288, 0.509595 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00835.bmp, 24.577355, 0.591786 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00910.bmp, 22.067438, 0.472883 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,00927.bmp, 23.623525, 0.578410 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,01673.bmp, 26.061875, 0.724056 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02947.bmp, 24.478328, 0.602005 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,02955.bmp, 30.278819, 0.759721 
RCAN_5x5_dilated_17cases, 0.100000,Bernoulli, NLMF,03191.bmp, 21.432838, 0.581469 
