Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:1.tif, PSNR:26.153148, SSIM:0.782624 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:2.tif, PSNR:30.212566, SSIM:0.865656 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:3.tif, PSNR:29.239988, SSIM:0.843653 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:4.tif, PSNR:36.913093, SSIM:0.935746 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:5.tif, PSNR:34.381499, SSIM:0.877867 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:6.tif, PSNR:31.076258, SSIM:0.888239 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:7.tif, PSNR:29.381575, SSIM:0.894282 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:8.tif, PSNR:33.563029, SSIM:0.912986 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:1.tif, PSNR:26.672543, SSIM:0.780637 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:2.tif, PSNR:30.223763, SSIM:0.866201 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:3.tif, PSNR:29.263250, SSIM:0.845685 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:4.tif, PSNR:36.922081, SSIM:0.935871 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:5.tif, PSNR:35.003419, SSIM:0.879584 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:6.tif, PSNR:31.579036, SSIM:0.896513 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:7.tif, PSNR:29.465153, SSIM:0.896242 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:8.tif, PSNR:33.565800, SSIM:0.912815 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:1.tif, PSNR:28.584527, SSIM:0.858535 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:2.tif, PSNR:32.551757, SSIM:0.904163 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:3.tif, PSNR:31.065192, SSIM:0.878087 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:4.tif, PSNR:38.892939, SSIM:0.953314 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:5.tif, PSNR:36.354763, SSIM:0.898795 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:6.tif, PSNR:34.275836, SSIM:0.933991 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:7.tif, PSNR:32.183384, SSIM:0.939646 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:8.tif, PSNR:34.826336, SSIM:0.924889 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:1.tif, PSNR:28.584527, SSIM:0.858535 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:2.tif, PSNR:32.551757, SSIM:0.904163 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:3.tif, PSNR:31.065192, SSIM:0.878087 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:4.tif, PSNR:38.892939, SSIM:0.953314 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:5.tif, PSNR:36.354763, SSIM:0.898795 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:6.tif, PSNR:34.275836, SSIM:0.933991 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:7.tif, PSNR:32.183384, SSIM:0.939646 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:8.tif, PSNR:34.826336, SSIM:0.924889 
