Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:1.tif, PSNR:29.849087, SSIM:0.891895 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:2.tif, PSNR:31.602534, SSIM:0.899237 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:3.tif, PSNR:30.081667, SSIM:0.873014 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:4.tif, PSNR:37.752401, SSIM:0.945173 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:5.tif, PSNR:35.964287, SSIM:0.904012 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:6.tif, PSNR:32.779756, SSIM:0.920251 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:7.tif, PSNR:30.917063, SSIM:0.928720 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:8.tif, PSNR:33.732581, SSIM:0.903610 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:1.tif, PSNR:29.849087, SSIM:0.891895 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:2.tif, PSNR:31.602534, SSIM:0.899237 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:3.tif, PSNR:30.081667, SSIM:0.873014 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:4.tif, PSNR:37.752401, SSIM:0.945173 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:5.tif, PSNR:35.964287, SSIM:0.904012 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:6.tif, PSNR:32.779756, SSIM:0.920251 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:7.tif, PSNR:30.917063, SSIM:0.928720 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:8.tif, PSNR:33.732581, SSIM:0.903610 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:1.tif, PSNR:31.604592, SSIM:0.920976 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:2.tif, PSNR:34.118913, SSIM:0.934539 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:3.tif, PSNR:31.976934, SSIM:0.901250 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:4.tif, PSNR:39.565421, SSIM:0.960452 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:5.tif, PSNR:37.776390, SSIM:0.934335 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:6.tif, PSNR:34.321549, SSIM:0.930024 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:7.tif, PSNR:33.480059, SSIM:0.953418 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:8.tif, PSNR:33.593828, SSIM:0.901758 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:1.tif, PSNR:31.604592, SSIM:0.920976 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:2.tif, PSNR:34.118913, SSIM:0.934539 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:3.tif, PSNR:31.976934, SSIM:0.901250 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:4.tif, PSNR:39.565421, SSIM:0.960452 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:5.tif, PSNR:37.776390, SSIM:0.934335 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Diffraction,Image_name:6.tif, PSNR:34.321549, SSIM:0.930024 
