Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00238.bmp, PSNR:20.829525, SSIM:0.735191 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00467.bmp, PSNR:24.947821, SSIM:0.754608 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00641.bmp, PSNR:25.678951, SSIM:0.655797 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00766.bmp, PSNR:23.638602, SSIM:0.714424 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00767.bmp, PSNR:27.931511, SSIM:0.744316 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01034.bmp, PSNR:36.466348, SSIM:0.922188 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01631.bmp, PSNR:25.327783, SSIM:0.656802 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01660.bmp, PSNR:27.524305, SSIM:0.802693 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02827.bmp, PSNR:28.925505, SSIM:0.824544 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02913.bmp, PSNR:25.144423, SSIM:0.623883 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03083.bmp, PSNR:27.444891, SSIM:0.838753 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03581.bmp, PSNR:34.308870, SSIM:0.895051 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03766.bmp, PSNR:27.842358, SSIM:0.795420 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03907.bmp, PSNR:29.972962, SSIM:0.751113 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04134.bmp, PSNR:36.295178, SSIM:0.941660 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04576.bmp, PSNR:32.926243, SSIM:0.923307 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04582.bmp, PSNR:25.447876, SSIM:0.746335 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04694.bmp, PSNR:31.218848, SSIM:0.817207 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04695.bmp, PSNR:32.726725, SSIM:0.841984 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04699.bmp, PSNR:31.913752, SSIM:0.835814 
