Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00238.bmp, PSNR:23.092126, SSIM:0.826025 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00467.bmp, PSNR:25.699888, SSIM:0.784842 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00641.bmp, PSNR:26.539686, SSIM:0.709023 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00766.bmp, PSNR:24.462230, SSIM:0.762134 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00767.bmp, PSNR:28.981138, SSIM:0.792647 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01034.bmp, PSNR:37.131088, SSIM:0.931360 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01631.bmp, PSNR:26.588571, SSIM:0.723310 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01660.bmp, PSNR:28.397613, SSIM:0.837703 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02827.bmp, PSNR:29.717127, SSIM:0.854713 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02913.bmp, PSNR:22.504895, SSIM:0.475568 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03083.bmp, PSNR:27.931846, SSIM:0.859726 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03581.bmp, PSNR:34.049318, SSIM:0.894781 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03766.bmp, PSNR:28.391418, SSIM:0.814078 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03907.bmp, PSNR:30.393236, SSIM:0.775144 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04134.bmp, PSNR:37.372513, SSIM:0.952228 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04576.bmp, PSNR:34.101663, SSIM:0.938074 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04582.bmp, PSNR:27.289996, SSIM:0.831721 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04694.bmp, PSNR:33.471625, SSIM:0.901428 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04695.bmp, PSNR:33.293762, SSIM:0.859702 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04699.bmp, PSNR:32.788992, SSIM:0.860045 
