Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00001.bmp, PSNR:34.425600, SSIM:0.904697 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00004.bmp, PSNR:15.773691, SSIM:0.373871 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00013.bmp, PSNR:20.638000, SSIM:0.613626 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00021.bmp, PSNR:30.433319, SSIM:0.838719 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00026.bmp, PSNR:33.765965, SSIM:0.933656 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00102.bmp, PSNR:27.526407, SSIM:0.863913 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00135.bmp, PSNR:27.296118, SSIM:0.814495 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00883.bmp, PSNR:31.239329, SSIM:0.872945 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00888.bmp, PSNR:24.019730, SSIM:0.699578 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00947.bmp, PSNR:18.630823, SSIM:0.600958 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01068.bmp, PSNR:29.197171, SSIM:0.844760 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01712.bmp, PSNR:21.124018, SSIM:0.636080 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02174.bmp, PSNR:28.675164, SSIM:0.867298 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02748.bmp, PSNR:33.451543, SSIM:0.936942 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02771.bmp, PSNR:27.632309, SSIM:0.760725 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02834.bmp, PSNR:31.721254, SSIM:0.835301 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03427.bmp, PSNR:23.796693, SSIM:0.726673 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03769.bmp, PSNR:23.774780, SSIM:0.646469 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03903.bmp, PSNR:32.297881, SSIM:0.902337 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03945.bmp, PSNR:30.068098, SSIM:0.922800 
