Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00001.bmp, PSNR:36.670184, SSIM:0.941148 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00004.bmp, PSNR:17.284085, SSIM:0.557851 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00013.bmp, PSNR:21.418414, SSIM:0.671374 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00021.bmp, PSNR:33.731294, SSIM:0.919517 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00026.bmp, PSNR:34.389839, SSIM:0.940734 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00102.bmp, PSNR:29.964251, SSIM:0.914676 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00135.bmp, PSNR:29.626839, SSIM:0.876592 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00883.bmp, PSNR:32.207695, SSIM:0.897706 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00888.bmp, PSNR:24.766801, SSIM:0.748033 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00947.bmp, PSNR:22.212749, SSIM:0.791054 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01068.bmp, PSNR:30.184274, SSIM:0.877673 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01712.bmp, PSNR:23.310967, SSIM:0.736041 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02174.bmp, PSNR:30.130688, SSIM:0.906507 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02748.bmp, PSNR:35.644728, SSIM:0.959840 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02771.bmp, PSNR:30.275258, SSIM:0.850484 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02834.bmp, PSNR:33.373023, SSIM:0.875353 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03427.bmp, PSNR:24.386755, SSIM:0.763673 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03769.bmp, PSNR:24.559664, SSIM:0.701954 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03903.bmp, PSNR:33.575148, SSIM:0.924753 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03945.bmp, PSNR:33.329771, SSIM:0.959852 
