Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00191.bmp, PSNR:32.525270, SSIM:0.849546 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00209.bmp, PSNR:34.065340, SSIM:0.895741 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00310.bmp, PSNR:31.037479, SSIM:0.878070 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00348.bmp, PSNR:23.616173, SSIM:0.775456 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00356.bmp, PSNR:31.088047, SSIM:0.878484 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00510.bmp, PSNR:29.200205, SSIM:0.838602 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00566.bmp, PSNR:35.852378, SSIM:0.956920 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00639.bmp, PSNR:25.062412, SSIM:0.841730 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00643.bmp, PSNR:26.666550, SSIM:0.819089 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00760.bmp, PSNR:26.136906, SSIM:0.790122 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00835.bmp, PSNR:30.557653, SSIM:0.870044 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00910.bmp, PSNR:27.900231, SSIM:0.823617 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00927.bmp, PSNR:29.302364, SSIM:0.863461 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01673.bmp, PSNR:33.364382, SSIM:0.916083 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02947.bmp, PSNR:27.811800, SSIM:0.795751 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02955.bmp, PSNR:37.259068, SSIM:0.949756 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03191.bmp, PSNR:27.947928, SSIM:0.877466 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03294.bmp, PSNR:25.809834, SSIM:0.737309 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04001.bmp, PSNR:25.588778, SSIM:0.795036 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04723.bmp, PSNR:29.636746, SSIM:0.898319 
