Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00689.bmp, PSNR:23.108229, SSIM:0.577500 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00705.bmp, PSNR:39.492567, SSIM:0.970476 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01043.bmp, PSNR:26.987723, SSIM:0.798052 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01048.bmp, PSNR:33.874365, SSIM:0.884570 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01276.bmp, PSNR:48.359446, SSIM:0.990105 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01283.bmp, PSNR:16.780333, SSIM:0.359443 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01706.bmp, PSNR:26.411718, SSIM:0.681285 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02315.bmp, PSNR:26.095674, SSIM:0.619821 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02817.bmp, PSNR:38.070016, SSIM:0.925876 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02830.bmp, PSNR:35.338756, SSIM:0.919763 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02831.bmp, PSNR:19.800854, SSIM:0.553507 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02832.bmp, PSNR:33.927863, SSIM:0.883702 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02917.bmp, PSNR:23.112312, SSIM:0.574737 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03337.bmp, PSNR:25.007488, SSIM:0.704212 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03400.bmp, PSNR:29.538485, SSIM:0.772928 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03403.bmp, PSNR:30.286906, SSIM:0.801407 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03439.bmp, PSNR:25.101819, SSIM:0.726546 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03589.bmp, PSNR:21.676748, SSIM:0.651605 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04208.bmp, PSNR:19.536998, SSIM:0.545129 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04733.bmp, PSNR:29.198829, SSIM:0.884326 
