Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00524.bmp, PSNR:28.091844, SSIM:0.777019 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00548.bmp, PSNR:30.769549, SSIM:0.817618 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00794.bmp, PSNR:28.228861, SSIM:0.860030 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01078.bmp, PSNR:24.724830, SSIM:0.798602 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01102.bmp, PSNR:27.947037, SSIM:0.746651 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01112.bmp, PSNR:24.583139, SSIM:0.617651 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01792.bmp, PSNR:30.769549, SSIM:0.817618 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01847.bmp, PSNR:23.568760, SSIM:0.722505 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01888.bmp, PSNR:31.360686, SSIM:0.845953 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02309.bmp, PSNR:34.451023, SSIM:0.904102 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02514.bmp, PSNR:20.613154, SSIM:0.408797 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02515.bmp, PSNR:27.764551, SSIM:0.620387 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03143.bmp, PSNR:26.750102, SSIM:0.861013 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03152.bmp, PSNR:22.366791, SSIM:0.550425 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03168.bmp, PSNR:22.257129, SSIM:0.622016 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03584.bmp, PSNR:21.353758, SSIM:0.517501 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03848.bmp, PSNR:40.337647, SSIM:0.965880 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03896.bmp, PSNR:34.215856, SSIM:0.883558 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04224.bmp, PSNR:17.968341, SSIM:0.415405 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04474.bmp, PSNR:24.985656, SSIM:0.759687 
