Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00524.bmp, PSNR:28.807489, SSIM:0.809354 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00548.bmp, PSNR:33.062308, SSIM:0.885111 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00794.bmp, PSNR:28.838846, SSIM:0.874779 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01078.bmp, PSNR:26.113743, SSIM:0.848466 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01102.bmp, PSNR:28.857315, SSIM:0.785755 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01112.bmp, PSNR:25.332991, SSIM:0.669262 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01792.bmp, PSNR:33.062308, SSIM:0.885111 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01847.bmp, PSNR:24.114342, SSIM:0.754469 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01888.bmp, PSNR:32.696037, SSIM:0.884593 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02309.bmp, PSNR:37.689213, SSIM:0.956522 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02514.bmp, PSNR:21.018278, SSIM:0.486365 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:02515.bmp, PSNR:25.715526, SSIM:0.511423 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03143.bmp, PSNR:28.318934, SSIM:0.899948 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03152.bmp, PSNR:28.669679, SSIM:0.869713 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03168.bmp, PSNR:22.811457, SSIM:0.687538 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03584.bmp, PSNR:25.479569, SSIM:0.738151 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03848.bmp, PSNR:40.923621, SSIM:0.969621 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03896.bmp, PSNR:35.640407, SSIM:0.908251 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04224.bmp, PSNR:20.051778, SSIM:0.495535 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04474.bmp, PSNR:27.211818, SSIM:0.849493 
