Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00171.bmp, PSNR:33.026876, SSIM:0.896028 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00173.bmp, PSNR:27.208946, SSIM:0.770606 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00180.bmp, PSNR:20.618559, SSIM:0.704386 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00598.bmp, PSNR:31.825866, SSIM:0.932547 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00602.bmp, PSNR:27.296473, SSIM:0.822090 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00604.bmp, PSNR:24.847888, SSIM:0.651229 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00741.bmp, PSNR:23.665644, SSIM:0.647127 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00790.bmp, PSNR:36.478302, SSIM:0.967186 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00880.bmp, PSNR:25.289979, SSIM:0.763135 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00892.bmp, PSNR:23.892557, SSIM:0.811154 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00986.bmp, PSNR:31.122175, SSIM:0.891674 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01544.bmp, PSNR:22.728354, SSIM:0.763830 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01594.bmp, PSNR:25.201983, SSIM:0.692653 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03266.bmp, PSNR:37.674137, SSIM:0.929258 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03275.bmp, PSNR:23.684394, SSIM:0.696700 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03499.bmp, PSNR:37.410190, SSIM:0.936467 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03906.bmp, PSNR:30.980872, SSIM:0.832906 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04076.bmp, PSNR:24.260717, SSIM:0.736950 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04519.bmp, PSNR:20.517983, SSIM:0.590746 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04735.bmp, PSNR:32.376201, SSIM:0.881934 
