Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00171.bmp, PSNR:35.761203, SSIM:0.950687 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00173.bmp, PSNR:27.994469, SSIM:0.799180 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00180.bmp, PSNR:23.999184, SSIM:0.839893 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00598.bmp, PSNR:33.381075, SSIM:0.950129 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00602.bmp, PSNR:28.134348, SSIM:0.857030 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00604.bmp, PSNR:24.748461, SSIM:0.654212 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00741.bmp, PSNR:27.176266, SSIM:0.839422 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00790.bmp, PSNR:37.872739, SSIM:0.975949 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00880.bmp, PSNR:27.194238, SSIM:0.851768 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00892.bmp, PSNR:26.435236, SSIM:0.893032 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00986.bmp, PSNR:32.409168, SSIM:0.919481 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01544.bmp, PSNR:23.959055, SSIM:0.813878 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01594.bmp, PSNR:25.617063, SSIM:0.715501 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03266.bmp, PSNR:39.249204, SSIM:0.950760 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03275.bmp, PSNR:25.168381, SSIM:0.772749 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03499.bmp, PSNR:38.888955, SSIM:0.949303 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03906.bmp, PSNR:32.514941, SSIM:0.879785 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04076.bmp, PSNR:24.886358, SSIM:0.772341 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04519.bmp, PSNR:20.907848, SSIM:0.619735 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04735.bmp, PSNR:33.925762, SSIM:0.911700 
