Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00170.bmp, PSNR:31.035593, SSIM:0.842769 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00228.bmp, PSNR:34.044743, SSIM:0.844805 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00232.bmp, PSNR:34.216520, SSIM:0.930154 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00242.bmp, PSNR:27.149659, SSIM:0.642643 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00244.bmp, PSNR:25.229262, SSIM:0.680876 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00246.bmp, PSNR:41.532769, SSIM:0.983492 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00249.bmp, PSNR:25.811270, SSIM:0.716400 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00258.bmp, PSNR:36.226105, SSIM:0.963501 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00415.bmp, PSNR:25.774501, SSIM:0.846665 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00471.bmp, PSNR:30.182096, SSIM:0.809998 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00559.bmp, PSNR:28.583397, SSIM:0.836816 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00560.bmp, PSNR:24.883300, SSIM:0.667424 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00733.bmp, PSNR:27.738885, SSIM:0.852598 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01279.bmp, PSNR:24.849755, SSIM:0.784309 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01790.bmp, PSNR:25.858581, SSIM:0.858218 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03133.bmp, PSNR:29.433313, SSIM:0.872485 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03349.bmp, PSNR:29.277264, SSIM:0.867488 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03407.bmp, PSNR:26.937907, SSIM:0.786523 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03784.bmp, PSNR:25.360178, SSIM:0.765471 
Denoiser:DnCNN_20Layers_3x3_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04702.bmp, PSNR:25.200777, SSIM:0.757748 
