Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00170.bmp, PSNR:31.992827, SSIM:0.870947 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00228.bmp, PSNR:35.910126, SSIM:0.892848 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00232.bmp, PSNR:35.257780, SSIM:0.943756 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00242.bmp, PSNR:27.520132, SSIM:0.665816 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00244.bmp, PSNR:27.593793, SSIM:0.821750 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00246.bmp, PSNR:42.878507, SSIM:0.988145 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00249.bmp, PSNR:26.632963, SSIM:0.754146 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00258.bmp, PSNR:37.747594, SSIM:0.974142 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00415.bmp, PSNR:27.531254, SSIM:0.889687 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00471.bmp, PSNR:33.649802, SSIM:0.914514 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00559.bmp, PSNR:30.000551, SSIM:0.882639 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00560.bmp, PSNR:26.683329, SSIM:0.756854 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:00733.bmp, PSNR:29.449045, SSIM:0.907659 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01279.bmp, PSNR:25.827798, SSIM:0.826223 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:01790.bmp, PSNR:27.303768, SSIM:0.899288 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03133.bmp, PSNR:30.830343, SSIM:0.910377 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03349.bmp, PSNR:31.158949, SSIM:0.911975 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03407.bmp, PSNR:27.630815, SSIM:0.816056 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:03784.bmp, PSNR:26.109284, SSIM:0.805070 
Denoiser:RCAN_5x5_dilated_17cases, Rate:0.100000, measure_model:Bernoulli,Image_name:04702.bmp, PSNR:26.170409, SSIM:0.807642 
