Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00238.bmp, PSNR, 13.399831, SSIM, 0.242070 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00467.bmp, PSNR, 20.382563, SSIM, 0.484716 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00641.bmp, PSNR, 23.087358, SSIM, 0.481582 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00766.bmp, PSNR, 19.833641, SSIM, 0.478776 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00767.bmp, PSNR, 24.776207, SSIM, 0.598443 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01034.bmp, PSNR, 30.204900, SSIM, 0.833918 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01631.bmp, PSNR, 22.456053, SSIM, 0.493073 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01660.bmp, PSNR, 22.587825, SSIM, 0.552110 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 02827.bmp, PSNR, 24.455524, SSIM, 0.644036 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 02913.bmp, PSNR, 22.699022, SSIM, 0.452251 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03083.bmp, PSNR, 21.961926, SSIM, 0.578230 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03581.bmp, PSNR, 27.473342, SSIM, 0.760846 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03766.bmp, PSNR, 22.303518, SSIM, 0.520308 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03907.bmp, PSNR, 26.734309, SSIM, 0.636732 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 04134.bmp, PSNR, 25.601500, SSIM, 0.746222 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 04576.bmp, PSNR, 22.771407, SSIM, 0.615454 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 04582.bmp, PSNR, 20.607021, SSIM, 0.529565 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 04694.bmp, PSNR, 26.242881, SSIM, 0.715472 
