Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00170.bmp, PSNR, 22.102366, SSIM, 0.568269 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00228.bmp, PSNR, 27.725303, SSIM, 0.735039 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00232.bmp, PSNR, 23.004411, SSIM, 0.648404 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00242.bmp, PSNR, 24.542119, SSIM, 0.495357 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00244.bmp, PSNR, 19.655937, SSIM, 0.396461 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00246.bmp, PSNR, 25.776725, SSIM, 0.775208 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00249.bmp, PSNR, 19.869832, SSIM, 0.451866 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00258.bmp, PSNR, 22.466616, SSIM, 0.665635 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00415.bmp, PSNR, 17.447408, SSIM, 0.416304 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00471.bmp, PSNR, 23.376514, SSIM, 0.583877 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00559.bmp, PSNR, 22.004041, SSIM, 0.554656 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00560.bmp, PSNR, 19.663776, SSIM, 0.443077 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00733.bmp, PSNR, 18.744125, SSIM, 0.404359 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01279.bmp, PSNR, 19.058836, SSIM, 0.441440 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01790.bmp, PSNR, 17.203311, SSIM, 0.419643 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03133.bmp, PSNR, 22.097459, SSIM, 0.589894 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03349.bmp, PSNR, 21.061731, SSIM, 0.527530 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03407.bmp, PSNR, 21.477934, SSIM, 0.497410 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03784.bmp, PSNR, 20.605548, SSIM, 0.482259 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 04702.bmp, PSNR, 18.825699, SSIM, 0.443171 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00170.bmp, PSNR, 24.481392, SSIM, 0.645843 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00228.bmp, PSNR, 29.948010, SSIM, 0.780018 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00232.bmp, PSNR, 25.227295, SSIM, 0.708270 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00242.bmp, PSNR, 25.618660, SSIM, 0.543462 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00244.bmp, PSNR, 21.036877, SSIM, 0.454992 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00246.bmp, PSNR, 28.548586, SSIM, 0.828618 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00249.bmp, PSNR, 21.631465, SSIM, 0.519351 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00258.bmp, PSNR, 25.106209, SSIM, 0.742019 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00415.bmp, PSNR, 18.849916, SSIM, 0.483110 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00471.bmp, PSNR, 25.214293, SSIM, 0.641930 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00559.bmp, PSNR, 23.671437, SSIM, 0.611732 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00560.bmp, PSNR, 21.231181, SSIM, 0.502291 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00733.bmp, PSNR, 19.765955, SSIM, 0.433503 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 01279.bmp, PSNR, 20.318309, SSIM, 0.498952 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 01790.bmp, PSNR, 18.555677, SSIM, 0.444650 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 03133.bmp, PSNR, 23.653146, SSIM, 0.629058 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 03349.bmp, PSNR, 22.805554, SSIM, 0.581719 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 03407.bmp, PSNR, 22.812753, SSIM, 0.545647 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 03784.bmp, PSNR, 21.634270, SSIM, 0.510704 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 04702.bmp, PSNR, 20.465475, SSIM, 0.512966 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00170.bmp, PSNR, 25.880211, SSIM, 0.687948 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00228.bmp, PSNR, 31.290243, SSIM, 0.805432 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00232.bmp, PSNR, 26.894155, SSIM, 0.754771 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00242.bmp, PSNR, 26.208749, SSIM, 0.577185 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00244.bmp, PSNR, 21.874566, SSIM, 0.498617 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00246.bmp, PSNR, 30.485750, SSIM, 0.858798 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00249.bmp, PSNR, 22.853289, SSIM, 0.561609 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00258.bmp, PSNR, 26.673193, SSIM, 0.775606 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00415.bmp, PSNR, 19.893338, SSIM, 0.527828 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00471.bmp, PSNR, 26.400478, SSIM, 0.682293 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00559.bmp, PSNR, 24.713082, SSIM, 0.645684 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00560.bmp, PSNR, 22.443908, SSIM, 0.558702 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 00733.bmp, PSNR, 20.643348, SSIM, 0.465077 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 01279.bmp, PSNR, 21.206256, SSIM, 0.531148 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 01790.bmp, PSNR, 19.521028, SSIM, 0.470307 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 03133.bmp, PSNR, 24.474896, SSIM, 0.642977 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 03349.bmp, PSNR, 23.891541, SSIM, 0.618532 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 03407.bmp, PSNR, 23.738313, SSIM, 0.587913 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 03784.bmp, PSNR, 22.399851, SSIM, 0.534852 
Denoiser, BCS-SPL, Rate, 0.150000, Image_name, 04702.bmp, PSNR, 21.393212, SSIM, 0.556045 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00170.bmp, PSNR, 26.986834, SSIM, 0.720307 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00228.bmp, PSNR, 32.477008, SSIM, 0.828465 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00232.bmp, PSNR, 28.319221, SSIM, 0.789369 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00242.bmp, PSNR, 26.778122, SSIM, 0.608715 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00244.bmp, PSNR, 22.685836, SSIM, 0.537445 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00246.bmp, PSNR, 32.236460, SSIM, 0.883899 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00249.bmp, PSNR, 23.686439, SSIM, 0.597034 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00258.bmp, PSNR, 28.095006, SSIM, 0.803832 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00415.bmp, PSNR, 20.760305, SSIM, 0.571404 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00471.bmp, PSNR, 27.479674, SSIM, 0.719837 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00559.bmp, PSNR, 25.528322, SSIM, 0.676018 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00560.bmp, PSNR, 23.427367, SSIM, 0.595768 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 00733.bmp, PSNR, 21.365224, SSIM, 0.504345 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 01279.bmp, PSNR, 21.841219, SSIM, 0.563466 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 01790.bmp, PSNR, 20.347627, SSIM, 0.501203 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 03133.bmp, PSNR, 25.409531, SSIM, 0.668196 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 03349.bmp, PSNR, 24.943936, SSIM, 0.652585 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 03407.bmp, PSNR, 24.518455, SSIM, 0.617764 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 03784.bmp, PSNR, 23.134542, SSIM, 0.561937 
Denoiser, BCS-SPL, Rate, 0.200000, Image_name, 04702.bmp, PSNR, 22.262596, SSIM, 0.595411 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00170.bmp, PSNR, 28.019885, SSIM, 0.748592 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00228.bmp, PSNR, 33.438329, SSIM, 0.845735 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00232.bmp, PSNR, 29.490090, SSIM, 0.815478 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00242.bmp, PSNR, 27.129817, SSIM, 0.634189 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00244.bmp, PSNR, 23.394106, SSIM, 0.576552 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00246.bmp, PSNR, 33.540265, SSIM, 0.900170 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00249.bmp, PSNR, 24.437116, SSIM, 0.628051 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00258.bmp, PSNR, 29.362489, SSIM, 0.826284 
Denoiser, BCS-SPL, Rate, 0.250000, Image_name, 00415.bmp, PSNR, 21.643281, SSIM, 0.604717 
