Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00001.bmp, PSNR, 24.167721, SSIM, 0.638272 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00004.bmp, PSNR, 14.203136, SSIM, 0.177547 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00013.bmp, PSNR, 17.402307, SSIM, 0.301959 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00021.bmp, PSNR, 21.564002, SSIM, 0.521901 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00026.bmp, PSNR, 23.984156, SSIM, 0.660146 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00102.bmp, PSNR, 18.163021, SSIM, 0.446325 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00135.bmp, PSNR, 20.556534, SSIM, 0.485312 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00883.bmp, PSNR, 25.040258, SSIM, 0.654159 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00888.bmp, PSNR, 20.291767, SSIM, 0.454947 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00947.bmp, PSNR, 14.918371, SSIM, 0.255384 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01068.bmp, PSNR, 23.826283, SSIM, 0.623808 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01712.bmp, PSNR, 17.012082, SSIM, 0.316230 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 02174.bmp, PSNR, 23.362603, SSIM, 0.645374 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 02748.bmp, PSNR, 19.539013, SSIM, 0.521047 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 02771.bmp, PSNR, 21.556062, SSIM, 0.484206 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 02834.bmp, PSNR, 24.000156, SSIM, 0.595459 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03427.bmp, PSNR, 19.326656, SSIM, 0.437087 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03769.bmp, PSNR, 20.082749, SSIM, 0.402872 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03903.bmp, PSNR, 23.291405, SSIM, 0.595384 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03945.bmp, PSNR, 17.669032, SSIM, 0.446851 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00001.bmp, PSNR, 26.730745, SSIM, 0.700911 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00004.bmp, PSNR, 14.633556, SSIM, 0.228392 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00013.bmp, PSNR, 18.427181, SSIM, 0.379407 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00021.bmp, PSNR, 23.333887, SSIM, 0.580526 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00026.bmp, PSNR, 25.774755, SSIM, 0.697299 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00102.bmp, PSNR, 19.818591, SSIM, 0.524026 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00135.bmp, PSNR, 21.851676, SSIM, 0.517000 
