Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00524.bmp, PSNR, 23.532242, SSIM, 0.549500 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00548.bmp, PSNR, 25.797300, SSIM, 0.641987 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 00794.bmp, PSNR, 20.796952, SSIM, 0.549028 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01078.bmp, PSNR, 18.765019, SSIM, 0.411394 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01102.bmp, PSNR, 21.253493, SSIM, 0.524549 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01112.bmp, PSNR, 21.266187, SSIM, 0.424819 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01792.bmp, PSNR, 26.035352, SSIM, 0.646165 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01847.bmp, PSNR, 18.437450, SSIM, 0.415618 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 01888.bmp, PSNR, 25.129569, SSIM, 0.621284 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 02309.bmp, PSNR, 25.506675, SSIM, 0.734571 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 02514.bmp, PSNR, 18.872191, SSIM, 0.247648 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 02515.bmp, PSNR, 25.721546, SSIM, 0.527952 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03143.bmp, PSNR, 17.712529, SSIM, 0.415306 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03152.bmp, PSNR, 21.264583, SSIM, 0.420861 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03168.bmp, PSNR, 21.002089, SSIM, 0.484684 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03584.bmp, PSNR, 19.563846, SSIM, 0.366837 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03848.bmp, PSNR, 29.757165, SSIM, 0.868385 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 03896.bmp, PSNR, 27.535857, SSIM, 0.758545 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 04224.bmp, PSNR, 17.684461, SSIM, 0.256102 
Denoiser, BCS-SPL, Rate, 0.050000, Image_name, 04474.bmp, PSNR, 20.443782, SSIM, 0.470824 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00524.bmp, PSNR, 24.782990, SSIM, 0.595960 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00548.bmp, PSNR, 27.849197, SSIM, 0.707827 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 00794.bmp, PSNR, 22.871247, SSIM, 0.635490 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 01078.bmp, PSNR, 20.231720, SSIM, 0.492199 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 01102.bmp, PSNR, 23.219575, SSIM, 0.595109 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 01112.bmp, PSNR, 22.305175, SSIM, 0.467847 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 01792.bmp, PSNR, 27.807064, SSIM, 0.707232 
Denoiser, BCS-SPL, Rate, 0.100000, Image_name, 01847.bmp, PSNR, 19.940998, SSIM, 0.494309 
