Denoiser, BM3D, Rate, 0.050000, Image_name, 00238.bmp, PSNR, 13.804419, SSIM, 0.324617 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00467.bmp, PSNR, 21.582903, SSIM, 0.586638 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00641.bmp, PSNR, 23.737342, SSIM, 0.533031 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00766.bmp, PSNR, 20.667285, SSIM, 0.559166 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00767.bmp, PSNR, 25.858340, SSIM, 0.657786 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01034.bmp, PSNR, 33.094906, SSIM, 0.874239 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01631.bmp, PSNR, 23.390081, SSIM, 0.555340 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01660.bmp, PSNR, 23.957171, SSIM, 0.648544 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02827.bmp, PSNR, 25.833822, SSIM, 0.710540 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02913.bmp, PSNR, 22.999985, SSIM, 0.492064 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03083.bmp, PSNR, 23.295251, SSIM, 0.666857 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03581.bmp, PSNR, 30.633858, SSIM, 0.836121 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03766.bmp, PSNR, 23.579547, SSIM, 0.615155 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03907.bmp, PSNR, 27.947452, SSIM, 0.677997 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04134.bmp, PSNR, 31.093060, SSIM, 0.874799 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04576.bmp, PSNR, 26.512452, SSIM, 0.796855 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04582.bmp, PSNR, 22.355006, SSIM, 0.636451 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04694.bmp, PSNR, 28.796771, SSIM, 0.789523 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04695.bmp, PSNR, 28.994508, SSIM, 0.751375 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04699.bmp, PSNR, 29.352032, SSIM, 0.770728 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00238.bmp, PSNR, 19.450081, SSIM, 0.689986 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00467.bmp, PSNR, 24.588012, SSIM, 0.737178 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00641.bmp, PSNR, 25.696602, SSIM, 0.653450 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00766.bmp, PSNR, 22.789020, SSIM, 0.668862 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00767.bmp, PSNR, 28.028844, SSIM, 0.743017 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01034.bmp, PSNR, 36.167287, SSIM, 0.919296 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01631.bmp, PSNR, 25.696929, SSIM, 0.676196 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01660.bmp, PSNR, 27.486648, SSIM, 0.800022 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02827.bmp, PSNR, 28.259013, SSIM, 0.796403 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02913.bmp, PSNR, 24.765399, SSIM, 0.598508 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03083.bmp, PSNR, 25.897001, SSIM, 0.774282 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03581.bmp, PSNR, 33.922779, SSIM, 0.892780 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03766.bmp, PSNR, 27.146508, SSIM, 0.772283 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03907.bmp, PSNR, 29.622258, SSIM, 0.739060 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04134.bmp, PSNR, 35.348966, SSIM, 0.933381 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04576.bmp, PSNR, 31.614015, SSIM, 0.909072 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04582.bmp, PSNR, 25.032354, SSIM, 0.746665 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04694.bmp, PSNR, 32.119771, SSIM, 0.872875 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04695.bmp, PSNR, 32.377190, SSIM, 0.834474 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04699.bmp, PSNR, 32.162909, SSIM, 0.843021 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00238.bmp, PSNR, 21.913959, SSIM, 0.786359 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00467.bmp, PSNR, 27.020044, SSIM, 0.829048 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00641.bmp, PSNR, 27.275951, SSIM, 0.736782 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00766.bmp, PSNR, 24.438549, SSIM, 0.741722 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00767.bmp, PSNR, 29.536028, SSIM, 0.799768 
Denoiser, BM3D, Rate, 0.150000, Image_name, 01034.bmp, PSNR, 37.884231, SSIM, 0.939340 
Denoiser, BM3D, Rate, 0.150000, Image_name, 01631.bmp, PSNR, 27.181001, SSIM, 0.749303 
Denoiser, BM3D, Rate, 0.150000, Image_name, 01660.bmp, PSNR, 30.142448, SSIM, 0.877929 
Denoiser, BM3D, Rate, 0.150000, Image_name, 02827.bmp, PSNR, 30.032999, SSIM, 0.847993 
Denoiser, BM3D, Rate, 0.150000, Image_name, 02913.bmp, PSNR, 25.989526, SSIM, 0.675134 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03083.bmp, PSNR, 28.328048, SSIM, 0.857969 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03581.bmp, PSNR, 35.673907, SSIM, 0.918040 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03766.bmp, PSNR, 29.789073, SSIM, 0.850428 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03907.bmp, PSNR, 30.810266, SSIM, 0.783653 
Denoiser, BM3D, Rate, 0.150000, Image_name, 04134.bmp, PSNR, 38.240155, SSIM, 0.959258 
Denoiser, BM3D, Rate, 0.150000, Image_name, 04576.bmp, PSNR, 35.095987, SSIM, 0.947733 
Denoiser, BM3D, Rate, 0.150000, Image_name, 04582.bmp, PSNR, 27.757870, SSIM, 0.840315 
