Denoiser, BM3D, Rate, 0.050000, Image_name, 00001.bmp, PSNR, 30.151238, SSIM, 0.818056 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00004.bmp, PSNR, 14.120071, SSIM, 0.222635 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00013.bmp, PSNR, 17.409591, SSIM, 0.360902 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00021.bmp, PSNR, 26.096740, SSIM, 0.720408 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00026.bmp, PSNR, 28.293678, SSIM, 0.830601 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00102.bmp, PSNR, 22.193130, SSIM, 0.680462 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00135.bmp, PSNR, 22.163230, SSIM, 0.600088 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00883.bmp, PSNR, 27.909260, SSIM, 0.767602 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00888.bmp, PSNR, 21.499188, SSIM, 0.547017 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00947.bmp, PSNR, 14.942023, SSIM, 0.299010 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01068.bmp, PSNR, 24.865067, SSIM, 0.688235 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01712.bmp, PSNR, 16.950841, SSIM, 0.348548 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02174.bmp, PSNR, 25.256568, SSIM, 0.748115 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02748.bmp, PSNR, 25.658366, SSIM, 0.785753 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02771.bmp, PSNR, 23.578880, SSIM, 0.609128 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02834.bmp, PSNR, 28.748619, SSIM, 0.750815 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03427.bmp, PSNR, 20.628147, SSIM, 0.553429 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03769.bmp, PSNR, 20.479669, SSIM, 0.444005 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03903.bmp, PSNR, 27.305642, SSIM, 0.786033 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03945.bmp, PSNR, 20.187068, SSIM, 0.645011 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00001.bmp, PSNR, 34.280950, SSIM, 0.908468 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00004.bmp, PSNR, 17.257938, SSIM, 0.517187 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00013.bmp, PSNR, 20.123429, SSIM, 0.554172 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00021.bmp, PSNR, 31.462391, SSIM, 0.868199 
