Denoiser, BM3D, Rate, 0.050000, Image_name, 00689.bmp, PSNR, 20.973650, SSIM, 0.425663 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00705.bmp, PSNR, 34.120655, SSIM, 0.932383 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01043.bmp, PSNR, 23.769192, SSIM, 0.611463 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01048.bmp, PSNR, 30.310564, SSIM, 0.788509 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01276.bmp, PSNR, 44.214989, SSIM, 0.979258 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01283.bmp, PSNR, 15.106591, SSIM, 0.225068 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01706.bmp, PSNR, 17.730572, SSIM, 0.221909 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02315.bmp, PSNR, 23.827727, SSIM, 0.453264 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02817.bmp, PSNR, 35.105869, SSIM, 0.881977 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02830.bmp, PSNR, 30.851356, SSIM, 0.822964 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02831.bmp, PSNR, 17.520161, SSIM, 0.335922 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02832.bmp, PSNR, 30.129851, SSIM, 0.808561 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02917.bmp, PSNR, 19.506928, SSIM, 0.343505 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03337.bmp, PSNR, 22.895946, SSIM, 0.579911 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03400.bmp, PSNR, 26.632479, SSIM, 0.639884 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03403.bmp, PSNR, 27.534637, SSIM, 0.680609 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03439.bmp, PSNR, 21.820920, SSIM, 0.530349 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03589.bmp, PSNR, 17.213854, SSIM, 0.341198 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04208.bmp, PSNR, 17.037269, SSIM, 0.320679 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04733.bmp, PSNR, 24.657389, SSIM, 0.713058 
