Denoiser, BM3D, Rate, 0.050000, Image_name, 00524.bmp, PSNR, 24.674247, SSIM, 0.627594 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00548.bmp, PSNR, 27.797717, SSIM, 0.725190 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00794.bmp, PSNR, 23.246039, SSIM, 0.683432 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01078.bmp, PSNR, 20.454720, SSIM, 0.573844 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01102.bmp, PSNR, 23.122973, SSIM, 0.594877 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01112.bmp, PSNR, 21.959867, SSIM, 0.461969 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01792.bmp, PSNR, 27.797717, SSIM, 0.725190 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01847.bmp, PSNR, 19.117018, SSIM, 0.471659 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01888.bmp, PSNR, 27.686654, SSIM, 0.730469 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02309.bmp, PSNR, 30.658769, SSIM, 0.850903 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02514.bmp, PSNR, 19.090155, SSIM, 0.288959 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02515.bmp, PSNR, 26.429866, SSIM, 0.566773 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03143.bmp, PSNR, 20.764149, SSIM, 0.652549 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03152.bmp, PSNR, 22.603283, SSIM, 0.558949 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03168.bmp, PSNR, 21.104322, SSIM, 0.515292 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03584.bmp, PSNR, 20.438490, SSIM, 0.450277 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03848.bmp, PSNR, 34.481184, SSIM, 0.911816 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03896.bmp, PSNR, 31.041510, SSIM, 0.824141 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04224.bmp, PSNR, 16.882236, SSIM, 0.256619 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04474.bmp, PSNR, 21.474998, SSIM, 0.565822 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00524.bmp, PSNR, 27.254305, SSIM, 0.746241 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00548.bmp, PSNR, 31.383187, SSIM, 0.841976 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00794.bmp, PSNR, 26.546150, SSIM, 0.804902 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01078.bmp, PSNR, 24.217853, SSIM, 0.775161 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01102.bmp, PSNR, 26.381447, SSIM, 0.704843 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01112.bmp, PSNR, 23.590228, SSIM, 0.563186 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01792.bmp, PSNR, 31.383187, SSIM, 0.841976 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01847.bmp, PSNR, 22.562340, SSIM, 0.674812 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01888.bmp, PSNR, 31.698423, SSIM, 0.858327 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02309.bmp, PSNR, 35.142556, SSIM, 0.929470 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02514.bmp, PSNR, 20.488163, SSIM, 0.420654 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02515.bmp, PSNR, 27.632542, SSIM, 0.624315 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03143.bmp, PSNR, 24.689792, SSIM, 0.810410 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03152.bmp, PSNR, 25.467587, SSIM, 0.734295 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03168.bmp, PSNR, 22.035296, SSIM, 0.545885 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03584.bmp, PSNR, 22.981041, SSIM, 0.611157 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03848.bmp, PSNR, 39.931413, SSIM, 0.963733 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03896.bmp, PSNR, 34.534933, SSIM, 0.890932 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04224.bmp, PSNR, 19.341246, SSIM, 0.429376 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04474.bmp, PSNR, 24.604712, SSIM, 0.735655 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00524.bmp, PSNR, 29.129484, SSIM, 0.811374 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00548.bmp, PSNR, 33.958404, SSIM, 0.901024 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00794.bmp, PSNR, 29.475209, SSIM, 0.887700 
Denoiser, BM3D, Rate, 0.150000, Image_name, 01078.bmp, PSNR, 26.635259, SSIM, 0.857710 
