Denoiser, BM3D, Rate, 0.050000, Image_name, 00171.bmp, PSNR, 28.969965, SSIM, 0.848124 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00173.bmp, PSNR, 21.281242, SSIM, 0.519604 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00180.bmp, PSNR, 16.468192, SSIM, 0.318801 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00598.bmp, PSNR, 23.754077, SSIM, 0.758311 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00602.bmp, PSNR, 23.160268, SSIM, 0.608507 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00604.bmp, PSNR, 22.733419, SSIM, 0.497893 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00741.bmp, PSNR, 21.176636, SSIM, 0.485978 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00790.bmp, PSNR, 28.083398, SSIM, 0.864937 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00880.bmp, PSNR, 21.048101, SSIM, 0.571258 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00892.bmp, PSNR, 17.217458, SSIM, 0.455277 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00986.bmp, PSNR, 22.922399, SSIM, 0.559972 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01544.bmp, PSNR, 18.775180, SSIM, 0.556848 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01594.bmp, PSNR, 21.808513, SSIM, 0.541234 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03266.bmp, PSNR, 34.678984, SSIM, 0.912101 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03275.bmp, PSNR, 21.067942, SSIM, 0.544267 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03499.bmp, PSNR, 32.731360, SSIM, 0.881823 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03906.bmp, PSNR, 27.058508, SSIM, 0.709982 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04076.bmp, PSNR, 21.252636, SSIM, 0.585165 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04519.bmp, PSNR, 17.381929, SSIM, 0.366551 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04735.bmp, PSNR, 29.093358, SSIM, 0.806652 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00171.bmp, PSNR, 33.518587, SSIM, 0.927525 
