Denoiser, BM3D, Rate, 0.050000, Image_name, 00238.bmp, PSNR, 13.449690, SSIM, 0.299320 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00467.bmp, PSNR, 21.476032, SSIM, 0.576493 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00641.bmp, PSNR, 23.444448, SSIM, 0.517298 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00766.bmp, PSNR, 20.631736, SSIM, 0.560357 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00767.bmp, PSNR, 25.794475, SSIM, 0.656231 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01034.bmp, PSNR, 33.129950, SSIM, 0.875490 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01631.bmp, PSNR, 23.598170, SSIM, 0.565604 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01660.bmp, PSNR, 24.062803, SSIM, 0.658426 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02827.bmp, PSNR, 25.710068, SSIM, 0.705616 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02913.bmp, PSNR, 23.128786, SSIM, 0.493805 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03083.bmp, PSNR, 23.073247, SSIM, 0.664224 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03581.bmp, PSNR, 30.568220, SSIM, 0.838537 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03766.bmp, PSNR, 23.529538, SSIM, 0.614760 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03907.bmp, PSNR, 27.822597, SSIM, 0.680809 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04134.bmp, PSNR, 30.847175, SSIM, 0.871317 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04576.bmp, PSNR, 26.393191, SSIM, 0.796024 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04582.bmp, PSNR, 22.291827, SSIM, 0.642343 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04694.bmp, PSNR, 28.662847, SSIM, 0.789671 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04695.bmp, PSNR, 29.723932, SSIM, 0.771588 
