Denoiser, BM3D, Rate, 0.050000, Image_name, 00689.bmp, PSNR, 21.092919, SSIM, 0.434113 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00705.bmp, PSNR, 33.801764, SSIM, 0.932333 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01043.bmp, PSNR, 23.693289, SSIM, 0.607658 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01048.bmp, PSNR, 30.260457, SSIM, 0.785400 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01276.bmp, PSNR, 44.781171, SSIM, 0.981017 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01283.bmp, PSNR, 15.272137, SSIM, 0.237562 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01706.bmp, PSNR, 23.845381, SSIM, 0.533880 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02315.bmp, PSNR, 23.790079, SSIM, 0.459417 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02817.bmp, PSNR, 35.062554, SSIM, 0.878358 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02830.bmp, PSNR, 30.933177, SSIM, 0.825440 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02831.bmp, PSNR, 17.646184, SSIM, 0.341675 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02832.bmp, PSNR, 30.145308, SSIM, 0.807327 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02917.bmp, PSNR, 20.329821, SSIM, 0.354849 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03337.bmp, PSNR, 22.851002, SSIM, 0.572628 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03400.bmp, PSNR, 26.607218, SSIM, 0.642446 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03403.bmp, PSNR, 27.475114, SSIM, 0.670297 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03439.bmp, PSNR, 21.698286, SSIM, 0.520959 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03589.bmp, PSNR, 16.557664, SSIM, 0.298537 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04208.bmp, PSNR, 15.904448, SSIM, 0.295193 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04733.bmp, PSNR, 24.565180, SSIM, 0.702989 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00689.bmp, PSNR, 22.651204, SSIM, 0.533016 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00705.bmp, PSNR, 37.965575, SSIM, 0.962406 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01043.bmp, PSNR, 25.241954, SSIM, 0.668030 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01048.bmp, PSNR, 32.563330, SSIM, 0.850495 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01276.bmp, PSNR, 48.051077, SSIM, 0.989474 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01283.bmp, PSNR, 16.332677, SSIM, 0.324425 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01706.bmp, PSNR, 25.290512, SSIM, 0.599766 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02315.bmp, PSNR, 25.103855, SSIM, 0.543078 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02817.bmp, PSNR, 37.094742, SSIM, 0.909777 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02830.bmp, PSNR, 33.610855, SSIM, 0.885642 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02831.bmp, PSNR, 19.176096, SSIM, 0.461306 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02832.bmp, PSNR, 32.494329, SSIM, 0.850022 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02917.bmp, PSNR, 22.104434, SSIM, 0.496010 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03337.bmp, PSNR, 24.415586, SSIM, 0.641710 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03400.bmp, PSNR, 28.469033, SSIM, 0.722103 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03403.bmp, PSNR, 29.262303, SSIM, 0.749687 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03439.bmp, PSNR, 23.815584, SSIM, 0.642679 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03589.bmp, PSNR, 20.520801, SSIM, 0.541947 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04208.bmp, PSNR, 18.786023, SSIM, 0.462650 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04733.bmp, PSNR, 27.242924, SSIM, 0.806278 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00689.bmp, PSNR, 23.475324, SSIM, 0.586389 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00705.bmp, PSNR, 40.761455, SSIM, 0.974557 
Denoiser, BM3D, Rate, 0.150000, Image_name, 01043.bmp, PSNR, 26.709602, SSIM, 0.736671 
Denoiser, BM3D, Rate, 0.150000, Image_name, 01048.bmp, PSNR, 34.416786, SSIM, 0.887967 
Denoiser, BM3D, Rate, 0.150000, Image_name, 01276.bmp, PSNR, 49.744476, SSIM, 0.992366 
Denoiser, BM3D, Rate, 0.150000, Image_name, 01283.bmp, PSNR, 17.085094, SSIM, 0.400241 
Denoiser, BM3D, Rate, 0.150000, Image_name, 01706.bmp, PSNR, 26.599304, SSIM, 0.669054 
Denoiser, BM3D, Rate, 0.150000, Image_name, 02315.bmp, PSNR, 26.256388, SSIM, 0.623328 
Denoiser, BM3D, Rate, 0.150000, Image_name, 02817.bmp, PSNR, 38.563312, SSIM, 0.929981 
Denoiser, BM3D, Rate, 0.150000, Image_name, 02830.bmp, PSNR, 35.595424, SSIM, 0.917812 
Denoiser, BM3D, Rate, 0.150000, Image_name, 02831.bmp, PSNR, 20.076024, SSIM, 0.532217 
Denoiser, BM3D, Rate, 0.150000, Image_name, 02832.bmp, PSNR, 34.220864, SSIM, 0.881326 
Denoiser, BM3D, Rate, 0.150000, Image_name, 02917.bmp, PSNR, 23.187100, SSIM, 0.569793 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03337.bmp, PSNR, 25.669846, SSIM, 0.704501 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03400.bmp, PSNR, 29.692934, SSIM, 0.768530 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03403.bmp, PSNR, 30.349549, SSIM, 0.792268 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03439.bmp, PSNR, 25.258151, SSIM, 0.709603 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03589.bmp, PSNR, 21.742048, SSIM, 0.602142 
Denoiser, BM3D, Rate, 0.150000, Image_name, 04208.bmp, PSNR, 19.774801, SSIM, 0.554744 
Denoiser, BM3D, Rate, 0.150000, Image_name, 04733.bmp, PSNR, 29.570855, SSIM, 0.874945 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00689.bmp, PSNR, 24.130147, SSIM, 0.633351 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00705.bmp, PSNR, 42.877832, SSIM, 0.982039 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01043.bmp, PSNR, 28.239241, SSIM, 0.795552 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01048.bmp, PSNR, 36.165046, SSIM, 0.917375 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01276.bmp, PSNR, 51.130009, SSIM, 0.994218 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01283.bmp, PSNR, 17.502968, SSIM, 0.442712 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01706.bmp, PSNR, 27.595252, SSIM, 0.711595 
Denoiser, BM3D, Rate, 0.200000, Image_name, 02315.bmp, PSNR, 27.091481, SSIM, 0.677021 
Denoiser, BM3D, Rate, 0.200000, Image_name, 02817.bmp, PSNR, 39.851069, SSIM, 0.944236 
Denoiser, BM3D, Rate, 0.200000, Image_name, 02830.bmp, PSNR, 37.373118, SSIM, 0.941504 
Denoiser, BM3D, Rate, 0.200000, Image_name, 02831.bmp, PSNR, 20.905464, SSIM, 0.595820 
Denoiser, BM3D, Rate, 0.200000, Image_name, 02832.bmp, PSNR, 35.503772, SSIM, 0.903993 
Denoiser, BM3D, Rate, 0.200000, Image_name, 02917.bmp, PSNR, 24.577955, SSIM, 0.665325 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03337.bmp, PSNR, 26.775695, SSIM, 0.748967 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03400.bmp, PSNR, 30.812255, SSIM, 0.809614 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03403.bmp, PSNR, 31.328353, SSIM, 0.824922 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03439.bmp, PSNR, 27.019519, SSIM, 0.790328 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03589.bmp, PSNR, 22.804764, SSIM, 0.657629 
Denoiser, BM3D, Rate, 0.200000, Image_name, 04208.bmp, PSNR, 20.609916, SSIM, 0.617009 
Denoiser, BM3D, Rate, 0.200000, Image_name, 04733.bmp, PSNR, 31.846697, SSIM, 0.922143 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00689.bmp, PSNR, 24.908848, SSIM, 0.685701 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00705.bmp, PSNR, 44.797284, SSIM, 0.986559 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01043.bmp, PSNR, 29.760265, SSIM, 0.846808 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01048.bmp, PSNR, 37.577462, SSIM, 0.938105 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01276.bmp, PSNR, 52.180934, SSIM, 0.995349 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01283.bmp, PSNR, 17.937591, SSIM, 0.490267 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01706.bmp, PSNR, 28.540579, SSIM, 0.751929 
Denoiser, BM3D, Rate, 0.250000, Image_name, 02315.bmp, PSNR, 27.787394, SSIM, 0.719643 
Denoiser, BM3D, Rate, 0.250000, Image_name, 02817.bmp, PSNR, 41.142339, SSIM, 0.956400 
Denoiser, BM3D, Rate, 0.250000, Image_name, 02830.bmp, PSNR, 39.108285, SSIM, 0.957938 
Denoiser, BM3D, Rate, 0.250000, Image_name, 02831.bmp, PSNR, 21.628185, SSIM, 0.643811 
Denoiser, BM3D, Rate, 0.250000, Image_name, 02832.bmp, PSNR, 36.573057, SSIM, 0.918086 
Denoiser, BM3D, Rate, 0.250000, Image_name, 02917.bmp, PSNR, 25.598432, SSIM, 0.722295 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03337.bmp, PSNR, 27.635944, SSIM, 0.781833 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03400.bmp, PSNR, 31.699341, SSIM, 0.836738 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03403.bmp, PSNR, 32.479284, SSIM, 0.858048 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03439.bmp, PSNR, 28.016274, SSIM, 0.819581 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03589.bmp, PSNR, 23.631975, SSIM, 0.713553 
Denoiser, BM3D, Rate, 0.250000, Image_name, 04208.bmp, PSNR, 21.334179, SSIM, 0.661847 
Denoiser, BM3D, Rate, 0.250000, Image_name, 04733.bmp, PSNR, 33.716249, SSIM, 0.945772 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00689.bmp, PSNR, 25.573141, SSIM, 0.726715 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00705.bmp, PSNR, 46.119416, SSIM, 0.988919 
Denoiser, BM3D, Rate, 0.300000, Image_name, 01043.bmp, PSNR, 31.087785, SSIM, 0.875548 
Denoiser, BM3D, Rate, 0.300000, Image_name, 01048.bmp, PSNR, 39.019535, SSIM, 0.953012 
Denoiser, BM3D, Rate, 0.300000, Image_name, 01276.bmp, PSNR, 53.222190, SSIM, 0.996256 
Denoiser, BM3D, Rate, 0.300000, Image_name, 01283.bmp, PSNR, 18.449797, SSIM, 0.540763 
Denoiser, BM3D, Rate, 0.300000, Image_name, 01706.bmp, PSNR, 29.200242, SSIM, 0.776064 
Denoiser, BM3D, Rate, 0.300000, Image_name, 02315.bmp, PSNR, 28.549941, SSIM, 0.761762 
Denoiser, BM3D, Rate, 0.300000, Image_name, 02817.bmp, PSNR, 42.094273, SSIM, 0.963813 
Denoiser, BM3D, Rate, 0.300000, Image_name, 02830.bmp, PSNR, 40.391975, SSIM, 0.966571 
Denoiser, BM3D, Rate, 0.300000, Image_name, 02831.bmp, PSNR, 22.329154, SSIM, 0.686429 
Denoiser, BM3D, Rate, 0.300000, Image_name, 02832.bmp, PSNR, 37.804667, SSIM, 0.934592 
Denoiser, BM3D, Rate, 0.300000, Image_name, 02917.bmp, PSNR, 26.434246, SSIM, 0.767522 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03337.bmp, PSNR, 28.802535, SSIM, 0.827673 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03400.bmp, PSNR, 32.934064, SSIM, 0.869918 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03403.bmp, PSNR, 33.652188, SSIM, 0.888725 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03439.bmp, PSNR, 29.158276, SSIM, 0.857961 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03589.bmp, PSNR, 25.073908, SSIM, 0.772280 
Denoiser, BM3D, Rate, 0.300000, Image_name, 04208.bmp, PSNR, 22.110979, SSIM, 0.712426 
Denoiser, BM3D, Rate, 0.300000, Image_name, 04733.bmp, PSNR, 35.537120, SSIM, 0.961801 
