Denoiser, BM3D, Rate, 0.050000, Image_name, 00524.bmp, PSNR, 24.566300, SSIM, 0.618525 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00548.bmp, PSNR, 24.894592, SSIM, 0.586969 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00794.bmp, PSNR, 23.343791, SSIM, 0.695073 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01078.bmp, PSNR, 20.388976, SSIM, 0.565477 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01102.bmp, PSNR, 22.889208, SSIM, 0.590217 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01112.bmp, PSNR, 21.983379, SSIM, 0.470474 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01792.bmp, PSNR, 27.704880, SSIM, 0.717312 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01847.bmp, PSNR, 19.371638, SSIM, 0.490521 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01888.bmp, PSNR, 27.606390, SSIM, 0.731816 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02309.bmp, PSNR, 30.373499, SSIM, 0.839130 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02514.bmp, PSNR, 19.061652, SSIM, 0.288695 
Denoiser, BM3D, Rate, 0.050000, Image_name, 02515.bmp, PSNR, 26.391933, SSIM, 0.562372 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03143.bmp, PSNR, 20.924860, SSIM, 0.648826 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03152.bmp, PSNR, 22.595697, SSIM, 0.563598 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03168.bmp, PSNR, 21.130776, SSIM, 0.522853 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03584.bmp, PSNR, 20.261137, SSIM, 0.439675 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03848.bmp, PSNR, 36.162377, SSIM, 0.936451 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03896.bmp, PSNR, 31.412385, SSIM, 0.832484 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04224.bmp, PSNR, 17.854314, SSIM, 0.304023 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04474.bmp, PSNR, 20.538539, SSIM, 0.475976 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00524.bmp, PSNR, 26.682846, SSIM, 0.714409 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00548.bmp, PSNR, 31.344360, SSIM, 0.838501 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00794.bmp, PSNR, 26.353395, SSIM, 0.798831 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01078.bmp, PSNR, 23.730069, SSIM, 0.747079 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01102.bmp, PSNR, 26.055197, SSIM, 0.697745 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01112.bmp, PSNR, 23.405839, SSIM, 0.547069 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01792.bmp, PSNR, 31.376306, SSIM, 0.839983 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01847.bmp, PSNR, 22.301671, SSIM, 0.659298 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01888.bmp, PSNR, 31.612017, SSIM, 0.858346 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02309.bmp, PSNR, 34.525845, SSIM, 0.920626 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02514.bmp, PSNR, 20.286134, SSIM, 0.396732 
Denoiser, BM3D, Rate, 0.100000, Image_name, 02515.bmp, PSNR, 27.529052, SSIM, 0.618603 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03143.bmp, PSNR, 24.608369, SSIM, 0.804514 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03152.bmp, PSNR, 25.214078, SSIM, 0.713594 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03168.bmp, PSNR, 21.970828, SSIM, 0.527132 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03584.bmp, PSNR, 22.738183, SSIM, 0.593088 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03848.bmp, PSNR, 39.852947, SSIM, 0.963896 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03896.bmp, PSNR, 34.499481, SSIM, 0.890946 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04224.bmp, PSNR, 19.182828, SSIM, 0.416769 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04474.bmp, PSNR, 23.964246, SSIM, 0.691769 
