Denoiser, BM3D, Rate, 0.050000, Image_name, 00170.bmp, PSNR, 26.272121, SSIM, 0.741501 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00228.bmp, PSNR, 31.879985, SSIM, 0.826699 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00232.bmp, PSNR, 27.962608, SSIM, 0.822525 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00242.bmp, PSNR, 25.209515, SSIM, 0.533078 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00244.bmp, PSNR, 21.687245, SSIM, 0.525873 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00246.bmp, PSNR, 32.287787, SSIM, 0.926388 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00249.bmp, PSNR, 22.921789, SSIM, 0.589122 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00258.bmp, PSNR, 27.884761, SSIM, 0.865616 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00415.bmp, PSNR, 17.619461, SSIM, 0.421307 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00471.bmp, PSNR, 27.581695, SSIM, 0.765604 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00559.bmp, PSNR, 24.333125, SSIM, 0.674568 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00560.bmp, PSNR, 21.802955, SSIM, 0.558812 
Denoiser, BM3D, Rate, 0.050000, Image_name, 00733.bmp, PSNR, 20.776514, SSIM, 0.573946 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01279.bmp, PSNR, 20.587671, SSIM, 0.569219 
Denoiser, BM3D, Rate, 0.050000, Image_name, 01790.bmp, PSNR, 18.401622, SSIM, 0.510299 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03133.bmp, PSNR, 24.082462, SSIM, 0.713622 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03349.bmp, PSNR, 23.439363, SSIM, 0.675329 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03407.bmp, PSNR, 23.098078, SSIM, 0.600590 
Denoiser, BM3D, Rate, 0.050000, Image_name, 03784.bmp, PSNR, 21.596163, SSIM, 0.572972 
Denoiser, BM3D, Rate, 0.050000, Image_name, 04702.bmp, PSNR, 21.284762, SSIM, 0.585187 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00170.bmp, PSNR, 30.117377, SSIM, 0.833114 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00228.bmp, PSNR, 34.346182, SSIM, 0.864210 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00232.bmp, PSNR, 32.886848, SSIM, 0.914105 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00242.bmp, PSNR, 26.621350, SSIM, 0.604658 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00244.bmp, PSNR, 24.463852, SSIM, 0.659831 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00246.bmp, PSNR, 39.518786, SSIM, 0.978690 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00249.bmp, PSNR, 24.938024, SSIM, 0.672882 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00258.bmp, PSNR, 34.425589, SSIM, 0.954643 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00415.bmp, PSNR, 23.243910, SSIM, 0.766683 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00471.bmp, PSNR, 31.547936, SSIM, 0.870599 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00559.bmp, PSNR, 27.929168, SSIM, 0.818769 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00560.bmp, PSNR, 24.154451, SSIM, 0.658149 
Denoiser, BM3D, Rate, 0.100000, Image_name, 00733.bmp, PSNR, 25.148587, SSIM, 0.778431 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01279.bmp, PSNR, 22.943303, SSIM, 0.683945 
Denoiser, BM3D, Rate, 0.100000, Image_name, 01790.bmp, PSNR, 22.741791, SSIM, 0.739040 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03133.bmp, PSNR, 27.345848, SSIM, 0.823604 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03349.bmp, PSNR, 27.908212, SSIM, 0.830885 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03407.bmp, PSNR, 25.577859, SSIM, 0.716554 
Denoiser, BM3D, Rate, 0.100000, Image_name, 03784.bmp, PSNR, 24.178310, SSIM, 0.695760 
Denoiser, BM3D, Rate, 0.100000, Image_name, 04702.bmp, PSNR, 24.135021, SSIM, 0.718349 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00170.bmp, PSNR, 32.170744, SSIM, 0.868225 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00228.bmp, PSNR, 35.858218, SSIM, 0.889217 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00232.bmp, PSNR, 35.523225, SSIM, 0.944796 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00242.bmp, PSNR, 27.707302, SSIM, 0.671621 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00244.bmp, PSNR, 27.581684, SSIM, 0.823040 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00246.bmp, PSNR, 43.195523, SSIM, 0.988659 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00249.bmp, PSNR, 26.578006, SSIM, 0.741833 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00258.bmp, PSNR, 37.858208, SSIM, 0.973407 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00415.bmp, PSNR, 26.603666, SSIM, 0.869924 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00471.bmp, PSNR, 33.887699, SSIM, 0.912533 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00559.bmp, PSNR, 30.556270, SSIM, 0.887284 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00560.bmp, PSNR, 26.644579, SSIM, 0.751125 
Denoiser, BM3D, Rate, 0.150000, Image_name, 00733.bmp, PSNR, 30.069700, SSIM, 0.912147 
Denoiser, BM3D, Rate, 0.150000, Image_name, 01279.bmp, PSNR, 24.856493, SSIM, 0.765646 
Denoiser, BM3D, Rate, 0.150000, Image_name, 01790.bmp, PSNR, 26.059221, SSIM, 0.849418 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03133.bmp, PSNR, 30.715023, SSIM, 0.898837 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03349.bmp, PSNR, 30.774372, SSIM, 0.898378 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03407.bmp, PSNR, 27.738566, SSIM, 0.803170 
Denoiser, BM3D, Rate, 0.150000, Image_name, 03784.bmp, PSNR, 26.106133, SSIM, 0.787281 
Denoiser, BM3D, Rate, 0.150000, Image_name, 04702.bmp, PSNR, 26.511555, SSIM, 0.813702 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00170.bmp, PSNR, 33.464388, SSIM, 0.893251 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00228.bmp, PSNR, 37.000980, SSIM, 0.908613 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00232.bmp, PSNR, 37.612554, SSIM, 0.961804 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00242.bmp, PSNR, 28.584863, SSIM, 0.716033 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00244.bmp, PSNR, 30.257503, SSIM, 0.906887 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00246.bmp, PSNR, 46.068651, SSIM, 0.993085 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00249.bmp, PSNR, 27.916855, SSIM, 0.793236 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00258.bmp, PSNR, 40.291848, SSIM, 0.981798 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00415.bmp, PSNR, 29.118777, SSIM, 0.915524 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00471.bmp, PSNR, 36.144089, SSIM, 0.943045 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00559.bmp, PSNR, 32.763819, SSIM, 0.927721 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00560.bmp, PSNR, 28.130813, SSIM, 0.802101 
Denoiser, BM3D, Rate, 0.200000, Image_name, 00733.bmp, PSNR, 32.743170, SSIM, 0.945904 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01279.bmp, PSNR, 27.370418, SSIM, 0.853964 
Denoiser, BM3D, Rate, 0.200000, Image_name, 01790.bmp, PSNR, 28.843582, SSIM, 0.908575 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03133.bmp, PSNR, 33.195213, SSIM, 0.934012 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03349.bmp, PSNR, 33.195576, SSIM, 0.934476 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03407.bmp, PSNR, 29.418807, SSIM, 0.850329 
Denoiser, BM3D, Rate, 0.200000, Image_name, 03784.bmp, PSNR, 27.993413, SSIM, 0.840608 
Denoiser, BM3D, Rate, 0.200000, Image_name, 04702.bmp, PSNR, 28.081989, SSIM, 0.857312 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00170.bmp, PSNR, 34.604767, SSIM, 0.910338 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00228.bmp, PSNR, 38.143258, SSIM, 0.926223 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00232.bmp, PSNR, 39.223880, SSIM, 0.971494 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00242.bmp, PSNR, 29.467701, SSIM, 0.757962 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00244.bmp, PSNR, 32.340633, SSIM, 0.938577 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00246.bmp, PSNR, 48.000444, SSIM, 0.995003 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00249.bmp, PSNR, 29.155465, SSIM, 0.834750 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00258.bmp, PSNR, 42.235501, SSIM, 0.986411 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00415.bmp, PSNR, 31.121626, SSIM, 0.939258 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00471.bmp, PSNR, 37.860292, SSIM, 0.958614 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00559.bmp, PSNR, 34.579008, SSIM, 0.948258 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00560.bmp, PSNR, 29.388444, SSIM, 0.833848 
Denoiser, BM3D, Rate, 0.250000, Image_name, 00733.bmp, PSNR, 35.221836, SSIM, 0.962894 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01279.bmp, PSNR, 29.175064, SSIM, 0.894675 
Denoiser, BM3D, Rate, 0.250000, Image_name, 01790.bmp, PSNR, 31.262695, SSIM, 0.939232 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03133.bmp, PSNR, 35.089809, SSIM, 0.950967 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03349.bmp, PSNR, 35.356692, SSIM, 0.955587 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03407.bmp, PSNR, 30.886891, SSIM, 0.883696 
Denoiser, BM3D, Rate, 0.250000, Image_name, 03784.bmp, PSNR, 29.495107, SSIM, 0.877488 
Denoiser, BM3D, Rate, 0.250000, Image_name, 04702.bmp, PSNR, 29.683194, SSIM, 0.894755 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00170.bmp, PSNR, 35.643527, SSIM, 0.924177 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00228.bmp, PSNR, 38.937592, SSIM, 0.937400 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00232.bmp, PSNR, 40.727050, SSIM, 0.978200 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00242.bmp, PSNR, 30.175022, SSIM, 0.789020 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00244.bmp, PSNR, 34.071808, SSIM, 0.957873 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00246.bmp, PSNR, 49.705916, SSIM, 0.996174 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00249.bmp, PSNR, 30.354155, SSIM, 0.865508 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00258.bmp, PSNR, 43.856248, SSIM, 0.989445 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00415.bmp, PSNR, 32.654505, SSIM, 0.953188 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00471.bmp, PSNR, 39.811576, SSIM, 0.971597 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00559.bmp, PSNR, 36.159959, SSIM, 0.961076 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00560.bmp, PSNR, 30.637408, SSIM, 0.863992 
Denoiser, BM3D, Rate, 0.300000, Image_name, 00733.bmp, PSNR, 37.308814, SSIM, 0.975461 
Denoiser, BM3D, Rate, 0.300000, Image_name, 01279.bmp, PSNR, 31.067926, SSIM, 0.928570 
Denoiser, BM3D, Rate, 0.300000, Image_name, 01790.bmp, PSNR, 33.502001, SSIM, 0.957667 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03133.bmp, PSNR, 36.882954, SSIM, 0.963272 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03349.bmp, PSNR, 37.040382, SSIM, 0.967697 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03407.bmp, PSNR, 32.337904, SSIM, 0.911812 
Denoiser, BM3D, Rate, 0.300000, Image_name, 03784.bmp, PSNR, 31.071927, SSIM, 0.906464 
Denoiser, BM3D, Rate, 0.300000, Image_name, 04702.bmp, PSNR, 31.105492, SSIM, 0.919443 
