Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00238.bmp, PSNR, 13.320260, SSIM, 0.235928 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00467.bmp, PSNR, 21.660172, SSIM, 0.596340 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00641.bmp, PSNR, 23.880990, SSIM, 0.542867 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00766.bmp, PSNR, 20.629792, SSIM, 0.552100 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00767.bmp, PSNR, 26.058622, SSIM, 0.652022 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01034.bmp, PSNR, 33.481749, SSIM, 0.882043 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01631.bmp, PSNR, 23.586784, SSIM, 0.560881 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01660.bmp, PSNR, 23.400193, SSIM, 0.605809 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02827.bmp, PSNR, 26.657330, SSIM, 0.752660 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02913.bmp, PSNR, 23.151597, SSIM, 0.500346 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03083.bmp, PSNR, 23.684091, SSIM, 0.679816 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03581.bmp, PSNR, 31.390407, SSIM, 0.853041 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03766.bmp, PSNR, 23.525197, SSIM, 0.597431 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03907.bmp, PSNR, 28.513197, SSIM, 0.695204 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 04134.bmp, PSNR, 32.522261, SSIM, 0.897710 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 04576.bmp, PSNR, 28.519056, SSIM, 0.845514 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 04582.bmp, PSNR, 22.922449, SSIM, 0.657939 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 04694.bmp, PSNR, 29.429529, SSIM, 0.798424 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 04695.bmp, PSNR, 30.311162, SSIM, 0.781618 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 04699.bmp, PSNR, 29.710231, SSIM, 0.776002 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00238.bmp, PSNR, 14.267551, SSIM, 0.307378 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00467.bmp, PSNR, 25.217713, SSIM, 0.767569 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00641.bmp, PSNR, 26.197702, SSIM, 0.686196 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00766.bmp, PSNR, 23.451308, SSIM, 0.713377 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00767.bmp, PSNR, 28.394849, SSIM, 0.750120 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01034.bmp, PSNR, 36.275569, SSIM, 0.920063 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01631.bmp, PSNR, 26.147399, SSIM, 0.704378 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01660.bmp, PSNR, 27.705621, SSIM, 0.806775 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 02827.bmp, PSNR, 29.096225, SSIM, 0.832307 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 02913.bmp, PSNR, 25.198309, SSIM, 0.629881 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03083.bmp, PSNR, 27.143721, SSIM, 0.830056 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03581.bmp, PSNR, 34.334827, SSIM, 0.897828 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03766.bmp, PSNR, 27.758293, SSIM, 0.789525 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03907.bmp, PSNR, 30.063213, SSIM, 0.750076 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 04134.bmp, PSNR, 36.534826, SSIM, 0.945003 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 04576.bmp, PSNR, 32.562344, SSIM, 0.915832 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 04582.bmp, PSNR, 26.787466, SSIM, 0.810967 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 04694.bmp, PSNR, 32.426395, SSIM, 0.875949 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 04695.bmp, PSNR, 32.783708, SSIM, 0.842442 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 04699.bmp, PSNR, 32.154673, SSIM, 0.841651 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 00238.bmp, PSNR, 24.177962, SSIM, 0.850992 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 00467.bmp, PSNR, 27.702591, SSIM, 0.849406 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 00641.bmp, PSNR, 27.911981, SSIM, 0.770360 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 00766.bmp, PSNR, 25.735321, SSIM, 0.797519 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 00767.bmp, PSNR, 29.861271, SSIM, 0.799947 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 01034.bmp, PSNR, 38.080033, SSIM, 0.940924 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 01631.bmp, PSNR, 27.728851, SSIM, 0.773852 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 01660.bmp, PSNR, 30.218803, SSIM, 0.880423 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 02827.bmp, PSNR, 31.160898, SSIM, 0.881702 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 02913.bmp, PSNR, 26.527192, SSIM, 0.704950 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 03083.bmp, PSNR, 29.087421, SSIM, 0.880737 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 03581.bmp, PSNR, 36.278888, SSIM, 0.925396 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 03766.bmp, PSNR, 30.247554, SSIM, 0.859220 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 03907.bmp, PSNR, 31.207402, SSIM, 0.796319 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 04134.bmp, PSNR, 39.279838, SSIM, 0.964935 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 04576.bmp, PSNR, 35.166461, SSIM, 0.946156 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 04582.bmp, PSNR, 29.428594, SSIM, 0.881061 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 04694.bmp, PSNR, 34.724754, SSIM, 0.918049 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 04695.bmp, PSNR, 34.438582, SSIM, 0.880538 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.150000, Image_name, 04699.bmp, PSNR, 33.951068, SSIM, 0.882843 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 00238.bmp, PSNR, 26.791703, SSIM, 0.904586 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 00467.bmp, PSNR, 29.695537, SSIM, 0.895281 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 00641.bmp, PSNR, 29.100123, SSIM, 0.818746 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 00766.bmp, PSNR, 27.422390, SSIM, 0.846903 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 00767.bmp, PSNR, 30.989792, SSIM, 0.840306 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 01034.bmp, PSNR, 39.677481, SSIM, 0.955765 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 01631.bmp, PSNR, 28.885679, SSIM, 0.816304 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 01660.bmp, PSNR, 32.698106, SSIM, 0.928391 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 02827.bmp, PSNR, 32.786703, SSIM, 0.910248 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 02913.bmp, PSNR, 27.598307, SSIM, 0.763998 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 03083.bmp, PSNR, 31.433259, SSIM, 0.921789 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 03581.bmp, PSNR, 38.209027, SSIM, 0.946954 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 03766.bmp, PSNR, 32.310947, SSIM, 0.901614 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 03907.bmp, PSNR, 31.902699, SSIM, 0.816027 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 04134.bmp, PSNR, 41.265369, SSIM, 0.975513 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 04576.bmp, PSNR, 37.399680, SSIM, 0.961583 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 04582.bmp, PSNR, 31.233244, SSIM, 0.910661 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 04694.bmp, PSNR, 36.660921, SSIM, 0.943464 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 04695.bmp, PSNR, 35.978227, SSIM, 0.910393 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.200000, Image_name, 04699.bmp, PSNR, 35.146505, SSIM, 0.906179 
