Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00001.bmp, PSNR, 30.946191, SSIM, 0.828335 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00004.bmp, PSNR, 14.422271, SSIM, 0.202563 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00013.bmp, PSNR, 18.268739, SSIM, 0.405145 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00021.bmp, PSNR, 25.184924, SSIM, 0.684031 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00026.bmp, PSNR, 29.598795, SSIM, 0.862149 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00102.bmp, PSNR, 22.734606, SSIM, 0.707349 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00135.bmp, PSNR, 22.743127, SSIM, 0.634561 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00883.bmp, PSNR, 28.311409, SSIM, 0.784735 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00888.bmp, PSNR, 21.616036, SSIM, 0.561050 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00947.bmp, PSNR, 15.278226, SSIM, 0.285456 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01068.bmp, PSNR, 26.073160, SSIM, 0.751868 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01712.bmp, PSNR, 17.184816, SSIM, 0.346532 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02174.bmp, PSNR, 25.993527, SSIM, 0.785879 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02748.bmp, PSNR, 27.514360, SSIM, 0.836228 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02771.bmp, PSNR, 23.026974, SSIM, 0.562579 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02834.bmp, PSNR, 29.161471, SSIM, 0.760495 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03427.bmp, PSNR, 20.833992, SSIM, 0.577085 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03769.bmp, PSNR, 21.334351, SSIM, 0.502611 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03903.bmp, PSNR, 28.460864, SSIM, 0.818171 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03945.bmp, PSNR, 20.021363, SSIM, 0.627955 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00001.bmp, PSNR, 34.116898, SSIM, 0.898180 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00004.bmp, PSNR, 15.434073, SSIM, 0.328246 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00013.bmp, PSNR, 20.352108, SSIM, 0.585206 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00021.bmp, PSNR, 31.515886, SSIM, 0.865845 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00026.bmp, PSNR, 33.488165, SSIM, 0.929177 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00102.bmp, PSNR, 27.729572, SSIM, 0.867929 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00135.bmp, PSNR, 28.355525, SSIM, 0.844243 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00883.bmp, PSNR, 31.173288, SSIM, 0.870382 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00888.bmp, PSNR, 24.107973, SSIM, 0.706939 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00947.bmp, PSNR, 17.650407, SSIM, 0.488035 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01068.bmp, PSNR, 29.564038, SSIM, 0.860012 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01712.bmp, PSNR, 20.570560, SSIM, 0.601932 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 02174.bmp, PSNR, 29.272614, SSIM, 0.877034 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 02748.bmp, PSNR, 32.798458, SSIM, 0.927345 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 02771.bmp, PSNR, 27.942227, SSIM, 0.767330 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 02834.bmp, PSNR, 31.878923, SSIM, 0.835910 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03427.bmp, PSNR, 23.714001, SSIM, 0.718580 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 03769.bmp, PSNR, 23.849033, SSIM, 0.652900 
