Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00689.bmp, PSNR, 21.315294, SSIM, 0.451285 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00705.bmp, PSNR, 34.951406, SSIM, 0.943517 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01043.bmp, PSNR, 23.829764, SSIM, 0.606391 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01048.bmp, PSNR, 30.709761, SSIM, 0.796509 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01276.bmp, PSNR, 43.763594, SSIM, 0.976094 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01283.bmp, PSNR, 15.511001, SSIM, 0.222841 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01706.bmp, PSNR, 23.881906, SSIM, 0.533514 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02315.bmp, PSNR, 24.052848, SSIM, 0.464305 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02817.bmp, PSNR, 35.432589, SSIM, 0.886067 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02830.bmp, PSNR, 31.586929, SSIM, 0.842312 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02831.bmp, PSNR, 17.885487, SSIM, 0.356745 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02832.bmp, PSNR, 31.070444, SSIM, 0.829116 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02917.bmp, PSNR, 20.714676, SSIM, 0.374862 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03337.bmp, PSNR, 23.118806, SSIM, 0.587379 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03400.bmp, PSNR, 26.920331, SSIM, 0.653930 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03403.bmp, PSNR, 27.904886, SSIM, 0.693594 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03439.bmp, PSNR, 22.224865, SSIM, 0.553205 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03589.bmp, PSNR, 18.247969, SSIM, 0.399473 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 04208.bmp, PSNR, 17.159819, SSIM, 0.298148 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 04733.bmp, PSNR, 25.036788, SSIM, 0.730325 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00689.bmp, PSNR, 22.941108, SSIM, 0.558446 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 00705.bmp, PSNR, 38.269865, SSIM, 0.962554 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01043.bmp, PSNR, 26.242274, SSIM, 0.738312 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01048.bmp, PSNR, 33.009251, SSIM, 0.856407 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01276.bmp, PSNR, 46.469492, SSIM, 0.984939 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01283.bmp, PSNR, 16.566304, SSIM, 0.336287 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 01706.bmp, PSNR, 25.751500, SSIM, 0.642525 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 02315.bmp, PSNR, 25.657484, SSIM, 0.573005 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 02817.bmp, PSNR, 37.846482, SSIM, 0.921810 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 02830.bmp, PSNR, 34.407001, SSIM, 0.902295 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 02831.bmp, PSNR, 19.498928, SSIM, 0.505468 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.100000, Image_name, 02832.bmp, PSNR, 33.239274, SSIM, 0.865646 
