Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00524.bmp, PSNR, 24.912994, SSIM, 0.632712 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00548.bmp, PSNR, 28.395339, SSIM, 0.740921 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 00794.bmp, PSNR, 23.643958, SSIM, 0.693985 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01078.bmp, PSNR, 21.134486, SSIM, 0.619964 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01102.bmp, PSNR, 23.873458, SSIM, 0.611865 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01112.bmp, PSNR, 22.478252, SSIM, 0.485689 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01792.bmp, PSNR, 28.395339, SSIM, 0.740921 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01847.bmp, PSNR, 19.936458, SSIM, 0.523971 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 01888.bmp, PSNR, 27.746275, SSIM, 0.716720 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02309.bmp, PSNR, 32.021142, SSIM, 0.865341 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02514.bmp, PSNR, 19.295928, SSIM, 0.289092 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 02515.bmp, PSNR, 26.642392, SSIM, 0.571299 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03143.bmp, PSNR, 20.620689, SSIM, 0.640824 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03152.bmp, PSNR, 22.619013, SSIM, 0.553811 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03168.bmp, PSNR, 21.254924, SSIM, 0.520331 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03584.bmp, PSNR, 20.645648, SSIM, 0.453609 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03848.bmp, PSNR, 36.374341, SSIM, 0.937724 
Denoiser, DnCNN_17Layers_10cases, Rate, 0.050000, Image_name, 03896.bmp, PSNR, 31.690728, SSIM, 0.834776 
