Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00191.bmp, PSNR, 29.726420, SSIM, 0.821422 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00209.bmp, PSNR, 30.137056, SSIM, 0.814745 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00221.bmp, PSNR, 21.642155, SSIM, 0.559424 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00310.bmp, PSNR, 26.038886, SSIM, 0.731591 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00348.bmp, PSNR, 18.428066, SSIM, 0.553023 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00510.bmp, PSNR, 23.078258, SSIM, 0.674063 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00566.bmp, PSNR, 28.825448, SSIM, 0.836625 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00639.bmp, PSNR, 19.248922, SSIM, 0.637841 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00643.bmp, PSNR, 20.051557, SSIM, 0.564013 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00760.bmp, PSNR, 21.091135, SSIM, 0.602638 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00835.bmp, PSNR, 24.025934, SSIM, 0.714294 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00910.bmp, PSNR, 22.077539, SSIM, 0.627433 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 00927.bmp, PSNR, 23.907729, SSIM, 0.719873 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 01673.bmp, PSNR, 26.355687, SSIM, 0.783503 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 02947.bmp, PSNR, 24.523709, SSIM, 0.719717 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 02955.bmp, PSNR, 31.898542, SSIM, 0.885112 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 03191.bmp, PSNR, 20.387578, SSIM, 0.643817 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 03294.bmp, PSNR, 21.903745, SSIM, 0.573895 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 04001.bmp, PSNR, 19.317744, SSIM, 0.552635 
Denoiser, NLR-CS, Rate, 0.050000, Image_name, 04723.bmp, PSNR, 23.217791, SSIM, 0.748958 
Denoiser, NLR-CS, Rate, 0.100000, Image_name, 00191.bmp, PSNR, 34.185209, SSIM, 0.902424 
Denoiser, NLR-CS, Rate, 0.100000, Image_name, 00209.bmp, PSNR, 34.972701, SSIM, 0.913690 
Denoiser, NLR-CS, Rate, 0.100000, Image_name, 00221.bmp, PSNR, 24.847845, SSIM, 0.709067 
Denoiser, NLR-CS, Rate, 0.100000, Image_name, 00310.bmp, PSNR, 30.717458, SSIM, 0.875908 
Denoiser, NLR-CS, Rate, 0.100000, Image_name, 00348.bmp, PSNR, 21.659846, SSIM, 0.709834 
Denoiser, NLR-CS, Rate, 0.100000, Image_name, 00510.bmp, PSNR, 27.997570, SSIM, 0.819088 
Denoiser, NLR-CS, Rate, 0.100000, Image_name, 00566.bmp, PSNR, 34.927179, SSIM, 0.948262 
Denoiser, NLR-CS, Rate, 0.100000, Image_name, 00639.bmp, PSNR, 22.959803, SSIM, 0.793675 
Denoiser, NLR-CS, Rate, 0.100000, Image_name, 00643.bmp, PSNR, 23.638253, SSIM, 0.747243 
Denoiser, NLR-CS, Rate, 0.100000, Image_name, 00760.bmp, PSNR, 25.336485, SSIM, 0.776224 
Denoiser, NLR-CS, Rate, 0.100000, Image_name, 00835.bmp, PSNR, 28.975650, SSIM, 0.840524 
