Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00001.bmp, PSNR, 32.670655, SSIM, 0.882804 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00004.bmp, PSNR, 15.426554, SSIM, 0.373984 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00013.bmp, PSNR, 19.035369, SSIM, 0.504635 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00021.bmp, PSNR, 29.599497, SSIM, 0.835398 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00026.bmp, PSNR, 30.682869, SSIM, 0.891060 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00102.bmp, PSNR, 25.415845, SSIM, 0.813774 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00135.bmp, PSNR, 25.065541, SSIM, 0.771540 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00883.bmp, PSNR, 29.200313, SSIM, 0.822425 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00888.bmp, PSNR, 22.210871, SSIM, 0.602761 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00947.bmp, PSNR, 17.341270, SSIM, 0.497463 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01068.bmp, PSNR, 26.851387, SSIM, 0.795954 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01712.bmp, PSNR, 20.014764, SSIM, 0.587955 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02174.bmp, PSNR, 26.776519, SSIM, 0.827340 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02748.bmp, PSNR, 29.999359, SSIM, 0.898330 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02771.bmp, PSNR, 26.507704, SSIM, 0.744554 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02834.bmp, PSNR, 30.454470, SSIM, 0.808247 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03427.bmp, PSNR, 22.016062, SSIM, 0.659616 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03769.bmp, PSNR, 22.205954, SSIM, 0.567035 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03903.bmp, PSNR, 30.052965, SSIM, 0.868802 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03945.bmp, PSNR, 28.427128, SSIM, 0.917329 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00001.bmp, PSNR, 36.672950, SSIM, 0.943164 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00004.bmp, PSNR, 17.158505, SSIM, 0.555686 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00013.bmp, PSNR, 21.262805, SSIM, 0.662160 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00021.bmp, PSNR, 33.889211, SSIM, 0.923302 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00026.bmp, PSNR, 34.585326, SSIM, 0.944843 
