Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00191.bmp, PSNR, 32.051692, SSIM, 0.872923 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00209.bmp, PSNR, 32.619462, SSIM, 0.883959 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00221.bmp, PSNR, 24.037463, SSIM, 0.657742 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00310.bmp, PSNR, 28.473266, SSIM, 0.827694 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00348.bmp, PSNR, 20.520487, SSIM, 0.653108 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00510.bmp, PSNR, 26.347234, SSIM, 0.769881 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00566.bmp, PSNR, 31.976887, SSIM, 0.921016 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00639.bmp, PSNR, 21.673349, SSIM, 0.745607 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00643.bmp, PSNR, 23.105982, SSIM, 0.722969 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00760.bmp, PSNR, 23.432635, SSIM, 0.693134 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00835.bmp, PSNR, 27.565665, SSIM, 0.806903 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00910.bmp, PSNR, 24.282589, SSIM, 0.722219 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00927.bmp, PSNR, 26.153266, SSIM, 0.801448 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01673.bmp, PSNR, 30.605603, SSIM, 0.904130 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02947.bmp, PSNR, 26.166575, SSIM, 0.773173 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02955.bmp, PSNR, 34.186780, SSIM, 0.920031 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03191.bmp, PSNR, 23.999473, SSIM, 0.778799 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03294.bmp, PSNR, 24.037463, SSIM, 0.657742 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04001.bmp, PSNR, 23.317255, SSIM, 0.730490 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04723.bmp, PSNR, 26.259124, SSIM, 0.840142 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00191.bmp, PSNR, 35.512653, SSIM, 0.925448 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00209.bmp, PSNR, 36.132087, SSIM, 0.933751 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00221.bmp, PSNR, 27.074651, SSIM, 0.792304 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00310.bmp, PSNR, 32.452599, SSIM, 0.910269 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00348.bmp, PSNR, 24.577221, SSIM, 0.809324 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00510.bmp, PSNR, 30.272066, SSIM, 0.868170 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00566.bmp, PSNR, 37.656490, SSIM, 0.970785 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00639.bmp, PSNR, 25.727451, SSIM, 0.869381 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00643.bmp, PSNR, 27.879132, SSIM, 0.869670 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00760.bmp, PSNR, 27.082369, SSIM, 0.833561 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00835.bmp, PSNR, 31.681661, SSIM, 0.890534 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00910.bmp, PSNR, 28.942684, SSIM, 0.871381 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00927.bmp, PSNR, 30.354588, SSIM, 0.890519 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01673.bmp, PSNR, 35.174534, SSIM, 0.952443 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02947.bmp, PSNR, 29.069893, SSIM, 0.857530 
