Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00171.bmp, PSNR, 31.469024, SSIM, 0.903473 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00173.bmp, PSNR, 24.526001, SSIM, 0.707836 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00180.bmp, PSNR, 19.051324, SSIM, 0.576667 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00598.bmp, PSNR, 27.245218, SSIM, 0.873371 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00602.bmp, PSNR, 24.782417, SSIM, 0.730314 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00604.bmp, PSNR, 23.156634, SSIM, 0.538839 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00741.bmp, PSNR, 23.235406, SSIM, 0.658652 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00790.bmp, PSNR, 33.608154, SSIM, 0.954359 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00880.bmp, PSNR, 23.164092, SSIM, 0.691103 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00892.bmp, PSNR, 20.813697, SSIM, 0.719942 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00986.bmp, PSNR, 28.007369, SSIM, 0.819217 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01544.bmp, PSNR, 20.141376, SSIM, 0.650304 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01594.bmp, PSNR, 23.106017, SSIM, 0.607864 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03266.bmp, PSNR, 37.053023, SSIM, 0.934973 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03275.bmp, PSNR, 21.857882, SSIM, 0.613921 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03499.bmp, PSNR, 35.941023, SSIM, 0.925912 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03906.bmp, PSNR, 28.903372, SSIM, 0.777489 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04076.bmp, PSNR, 22.285408, SSIM, 0.676682 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04519.bmp, PSNR, 18.838491, SSIM, 0.470142 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04735.bmp, PSNR, 30.437042, SSIM, 0.845020 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00171.bmp, PSNR, 35.881785, SSIM, 0.950913 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00173.bmp, PSNR, 27.956204, SSIM, 0.794910 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00180.bmp, PSNR, 24.099981, SSIM, 0.842089 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00598.bmp, PSNR, 32.937922, SSIM, 0.945952 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00602.bmp, PSNR, 28.093839, SSIM, 0.855623 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00604.bmp, PSNR, 25.428947, SSIM, 0.677649 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00741.bmp, PSNR, 27.416552, SSIM, 0.846328 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00790.bmp, PSNR, 38.473533, SSIM, 0.977799 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00880.bmp, PSNR, 27.188292, SSIM, 0.858704 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00892.bmp, PSNR, 26.492803, SSIM, 0.886398 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00986.bmp, PSNR, 32.438573, SSIM, 0.920095 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01544.bmp, PSNR, 23.906709, SSIM, 0.813659 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01594.bmp, PSNR, 25.677027, SSIM, 0.717676 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03266.bmp, PSNR, 39.341590, SSIM, 0.951428 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03275.bmp, PSNR, 25.106670, SSIM, 0.768750 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03499.bmp, PSNR, 39.060750, SSIM, 0.950614 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03906.bmp, PSNR, 32.588569, SSIM, 0.881188 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04076.bmp, PSNR, 24.959717, SSIM, 0.770449 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04519.bmp, PSNR, 20.952143, SSIM, 0.628887 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04735.bmp, PSNR, 34.161991, SSIM, 0.915485 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00171.bmp, PSNR, 37.710987, SSIM, 0.962943 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00173.bmp, PSNR, 30.146389, SSIM, 0.845889 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00180.bmp, PSNR, 26.139618, SSIM, 0.898831 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00598.bmp, PSNR, 36.283164, SSIM, 0.966746 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00602.bmp, PSNR, 30.857029, SSIM, 0.919464 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00604.bmp, PSNR, 26.995807, SSIM, 0.761738 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00741.bmp, PSNR, 30.815220, SSIM, 0.919266 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00790.bmp, PSNR, 42.366454, SSIM, 0.988912 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00880.bmp, PSNR, 30.530129, SSIM, 0.929473 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00892.bmp, PSNR, 30.891472, SSIM, 0.948046 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00986.bmp, PSNR, 35.621757, SSIM, 0.957408 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01544.bmp, PSNR, 26.903198, SSIM, 0.892316 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01594.bmp, PSNR, 27.331561, SSIM, 0.779671 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03266.bmp, PSNR, 40.827164, SSIM, 0.961082 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03275.bmp, PSNR, 27.744299, SSIM, 0.852749 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03499.bmp, PSNR, 41.084240, SSIM, 0.963600 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03906.bmp, PSNR, 35.122904, SSIM, 0.926504 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04076.bmp, PSNR, 27.055953, SSIM, 0.831718 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04519.bmp, PSNR, 22.891898, SSIM, 0.729498 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04735.bmp, PSNR, 36.200981, SSIM, 0.943773 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00171.bmp, PSNR, 39.673825, SSIM, 0.972719 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00173.bmp, PSNR, 32.141937, SSIM, 0.889212 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00180.bmp, PSNR, 27.586970, SSIM, 0.925861 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00598.bmp, PSNR, 38.589648, SSIM, 0.978143 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00602.bmp, PSNR, 33.490108, SSIM, 0.950808 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00604.bmp, PSNR, 28.558524, SSIM, 0.822933 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00741.bmp, PSNR, 33.018772, SSIM, 0.943203 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00790.bmp, PSNR, 44.894025, SSIM, 0.992966 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00880.bmp, PSNR, 33.292549, SSIM, 0.960080 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00892.bmp, PSNR, 34.375087, SSIM, 0.972614 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00986.bmp, PSNR, 37.929698, SSIM, 0.972881 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01544.bmp, PSNR, 29.444136, SSIM, 0.934148 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01594.bmp, PSNR, 28.765632, SSIM, 0.829731 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03266.bmp, PSNR, 41.995652, SSIM, 0.967901 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03275.bmp, PSNR, 29.955010, SSIM, 0.902024 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03499.bmp, PSNR, 42.250396, SSIM, 0.969757 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03906.bmp, PSNR, 36.347753, SSIM, 0.938469 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 04076.bmp, PSNR, 29.247613, SSIM, 0.876834 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 04519.bmp, PSNR, 24.752315, SSIM, 0.797684 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 04735.bmp, PSNR, 38.140571, SSIM, 0.960868 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00171.bmp, PSNR, 41.071546, SSIM, 0.978228 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00173.bmp, PSNR, 33.680226, SSIM, 0.914319 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00180.bmp, PSNR, 28.845075, SSIM, 0.944190 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00598.bmp, PSNR, 40.607760, SSIM, 0.984361 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00602.bmp, PSNR, 35.425869, SSIM, 0.964700 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00604.bmp, PSNR, 29.867254, SSIM, 0.863452 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00741.bmp, PSNR, 34.205463, SSIM, 0.951648 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00790.bmp, PSNR, 46.884663, SSIM, 0.994763 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00880.bmp, PSNR, 34.666242, SSIM, 0.967827 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00892.bmp, PSNR, 35.808557, SSIM, 0.977793 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00986.bmp, PSNR, 40.001236, SSIM, 0.981701 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01544.bmp, PSNR, 31.645026, SSIM, 0.957756 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01594.bmp, PSNR, 30.048662, SSIM, 0.865007 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03266.bmp, PSNR, 43.011887, SSIM, 0.973225 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03275.bmp, PSNR, 31.843177, SSIM, 0.930083 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03499.bmp, PSNR, 43.368127, SSIM, 0.975373 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03906.bmp, PSNR, 38.091244, SSIM, 0.956574 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 04076.bmp, PSNR, 31.040850, SSIM, 0.903455 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 04519.bmp, PSNR, 26.670227, SSIM, 0.847915 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 04735.bmp, PSNR, 39.634562, SSIM, 0.970715 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00171.bmp, PSNR, 42.260880, SSIM, 0.981906 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00173.bmp, PSNR, 34.296249, SSIM, 0.920559 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00180.bmp, PSNR, 29.966536, SSIM, 0.956656 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00598.bmp, PSNR, 42.654425, SSIM, 0.989071 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00602.bmp, PSNR, 37.378934, SSIM, 0.975094 
