Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00191.bmp, PSNR, 31.943977, SSIM, 0.870326 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00209.bmp, PSNR, 32.474984, SSIM, 0.881806 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00221.bmp, PSNR, 23.994183, SSIM, 0.654821 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00310.bmp, PSNR, 28.441692, SSIM, 0.825360 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00348.bmp, PSNR, 20.511361, SSIM, 0.650470 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00510.bmp, PSNR, 26.352354, SSIM, 0.771448 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00566.bmp, PSNR, 31.843348, SSIM, 0.918404 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00639.bmp, PSNR, 21.641650, SSIM, 0.740028 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00643.bmp, PSNR, 22.925567, SSIM, 0.713996 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00760.bmp, PSNR, 23.500605, SSIM, 0.698099 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00835.bmp, PSNR, 27.536197, SSIM, 0.805771 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00910.bmp, PSNR, 24.241673, SSIM, 0.717673 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00927.bmp, PSNR, 26.124995, SSIM, 0.799577 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01673.bmp, PSNR, 30.498136, SSIM, 0.902189 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02947.bmp, PSNR, 26.107416, SSIM, 0.768979 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02955.bmp, PSNR, 34.073633, SSIM, 0.918724 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03191.bmp, PSNR, 24.043538, SSIM, 0.779415 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03294.bmp, PSNR, 23.994183, SSIM, 0.654821 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04001.bmp, PSNR, 23.318764, SSIM, 0.731489 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04723.bmp, PSNR, 26.140767, SSIM, 0.835513 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00191.bmp, PSNR, 35.458172, SSIM, 0.924717 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00209.bmp, PSNR, 36.058826, SSIM, 0.932717 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00221.bmp, PSNR, 26.986024, SSIM, 0.790001 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00310.bmp, PSNR, 32.361083, SSIM, 0.909153 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00348.bmp, PSNR, 24.531690, SSIM, 0.807442 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00510.bmp, PSNR, 30.168924, SSIM, 0.865435 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00566.bmp, PSNR, 37.571569, SSIM, 0.970479 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00639.bmp, PSNR, 25.616252, SSIM, 0.868178 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00643.bmp, PSNR, 27.818507, SSIM, 0.868734 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00760.bmp, PSNR, 27.043259, SSIM, 0.831748 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00835.bmp, PSNR, 31.615912, SSIM, 0.888944 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00910.bmp, PSNR, 28.857559, SSIM, 0.866174 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00927.bmp, PSNR, 30.240845, SSIM, 0.888381 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01673.bmp, PSNR, 35.118649, SSIM, 0.951729 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02947.bmp, PSNR, 29.032762, SSIM, 0.856421 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02955.bmp, PSNR, 38.156812, SSIM, 0.958425 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03191.bmp, PSNR, 29.350843, SSIM, 0.904396 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03294.bmp, PSNR, 26.986024, SSIM, 0.790001 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04001.bmp, PSNR, 27.385120, SSIM, 0.866163 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04723.bmp, PSNR, 30.755809, SSIM, 0.921694 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00191.bmp, PSNR, 37.289645, SSIM, 0.944208 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00209.bmp, PSNR, 37.893378, SSIM, 0.950125 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00221.bmp, PSNR, 29.132972, SSIM, 0.860183 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00310.bmp, PSNR, 35.432672, SSIM, 0.946483 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00348.bmp, PSNR, 26.955782, SSIM, 0.869897 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00510.bmp, PSNR, 33.016938, SSIM, 0.917544 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00566.bmp, PSNR, 40.221573, SSIM, 0.981653 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00639.bmp, PSNR, 28.669450, SSIM, 0.921780 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00643.bmp, PSNR, 30.966066, SSIM, 0.916031 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00760.bmp, PSNR, 29.564868, SSIM, 0.894064 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00835.bmp, PSNR, 34.229724, SSIM, 0.924029 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00910.bmp, PSNR, 31.996897, SSIM, 0.924923 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00927.bmp, PSNR, 32.847521, SSIM, 0.924557 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01673.bmp, PSNR, 37.283831, SSIM, 0.966382 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02947.bmp, PSNR, 31.093695, SSIM, 0.901578 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02955.bmp, PSNR, 40.479992, SSIM, 0.971452 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03191.bmp, PSNR, 32.433300, SSIM, 0.943862 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03294.bmp, PSNR, 29.132972, SSIM, 0.860183 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04001.bmp, PSNR, 30.241542, SSIM, 0.921429 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04723.bmp, PSNR, 34.095400, SSIM, 0.953595 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00191.bmp, PSNR, 38.857637, SSIM, 0.957740 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00209.bmp, PSNR, 39.414395, SSIM, 0.962237 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00221.bmp, PSNR, 30.748197, SSIM, 0.898809 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00310.bmp, PSNR, 36.937273, SSIM, 0.957511 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00348.bmp, PSNR, 29.121385, SSIM, 0.911265 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00510.bmp, PSNR, 35.165555, SSIM, 0.943873 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00566.bmp, PSNR, 42.696140, SSIM, 0.988162 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00639.bmp, PSNR, 31.239901, SSIM, 0.950658 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00643.bmp, PSNR, 33.442519, SSIM, 0.943231 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00760.bmp, PSNR, 31.746093, SSIM, 0.930804 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00835.bmp, PSNR, 35.575230, SSIM, 0.938066 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00910.bmp, PSNR, 34.291833, SSIM, 0.951493 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00927.bmp, PSNR, 34.818157, SSIM, 0.944253 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01673.bmp, PSNR, 39.362110, SSIM, 0.976343 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02947.bmp, PSNR, 32.884559, SSIM, 0.929070 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02955.bmp, PSNR, 42.293863, SSIM, 0.979114 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03191.bmp, PSNR, 34.213478, SSIM, 0.959460 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03294.bmp, PSNR, 30.748197, SSIM, 0.898809 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 04001.bmp, PSNR, 32.605963, SSIM, 0.948854 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 04723.bmp, PSNR, 35.701895, SSIM, 0.963683 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00191.bmp, PSNR, 40.123863, SSIM, 0.966531 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00209.bmp, PSNR, 40.810071, SSIM, 0.970748 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00221.bmp, PSNR, 32.380927, SSIM, 0.927814 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00310.bmp, PSNR, 38.778400, SSIM, 0.968855 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00348.bmp, PSNR, 30.881026, SSIM, 0.936714 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00510.bmp, PSNR, 36.843803, SSIM, 0.961053 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00566.bmp, PSNR, 44.463747, SSIM, 0.991534 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00639.bmp, PSNR, 33.541269, SSIM, 0.967529 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00643.bmp, PSNR, 34.728992, SSIM, 0.952408 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00760.bmp, PSNR, 33.634962, SSIM, 0.951931 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00835.bmp, PSNR, 37.148792, SSIM, 0.952543 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00910.bmp, PSNR, 35.915752, SSIM, 0.962378 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00927.bmp, PSNR, 35.927183, SSIM, 0.952749 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01673.bmp, PSNR, 40.967764, SSIM, 0.982024 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02947.bmp, PSNR, 34.118425, SSIM, 0.942728 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02955.bmp, PSNR, 43.940489, SSIM, 0.984342 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03191.bmp, PSNR, 35.401918, SSIM, 0.967364 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03294.bmp, PSNR, 32.380927, SSIM, 0.927814 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 04001.bmp, PSNR, 34.350623, SSIM, 0.962786 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 04723.bmp, PSNR, 37.678511, SSIM, 0.974614 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00191.bmp, PSNR, 41.310059, SSIM, 0.973441 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00209.bmp, PSNR, 42.059719, SSIM, 0.977228 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00221.bmp, PSNR, 33.487830, SSIM, 0.941044 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00310.bmp, PSNR, 40.220012, SSIM, 0.975610 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00348.bmp, PSNR, 32.500303, SSIM, 0.953773 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00510.bmp, PSNR, 38.515289, SSIM, 0.972332 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00566.bmp, PSNR, 45.931701, SSIM, 0.993424 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00639.bmp, PSNR, 35.079243, SSIM, 0.974675 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00643.bmp, PSNR, 36.397163, SSIM, 0.964670 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00760.bmp, PSNR, 34.947878, SSIM, 0.962045 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00835.bmp, PSNR, 38.498907, SSIM, 0.961934 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00910.bmp, PSNR, 37.614168, SSIM, 0.974089 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00927.bmp, PSNR, 37.163638, SSIM, 0.960993 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 01673.bmp, PSNR, 42.322771, SSIM, 0.985863 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 02947.bmp, PSNR, 35.687848, SSIM, 0.958085 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 02955.bmp, PSNR, 45.084013, SSIM, 0.987122 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03191.bmp, PSNR, 36.617364, SSIM, 0.973990 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03294.bmp, PSNR, 33.487830, SSIM, 0.941044 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 04001.bmp, PSNR, 35.315199, SSIM, 0.969324 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 04723.bmp, PSNR, 39.654425, SSIM, 0.981294 
