Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00689.bmp, PSNR, 21.701908, SSIM, 0.471460 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00705.bmp, PSNR, 36.079859, SSIM, 0.953456 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01043.bmp, PSNR, 25.068345, SSIM, 0.722354 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01048.bmp, PSNR, 31.213629, SSIM, 0.823317 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01276.bmp, PSNR, 45.507884, SSIM, 0.983335 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01283.bmp, PSNR, 15.827139, SSIM, 0.257872 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01706.bmp, PSNR, 24.585052, SSIM, 0.588570 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02315.bmp, PSNR, 24.624363, SSIM, 0.506268 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02817.bmp, PSNR, 35.980755, SSIM, 0.897401 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02830.bmp, PSNR, 32.399976, SSIM, 0.868320 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02831.bmp, PSNR, 18.331930, SSIM, 0.400364 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02832.bmp, PSNR, 31.416514, SSIM, 0.840132 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02917.bmp, PSNR, 21.100386, SSIM, 0.411719 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03337.bmp, PSNR, 23.423294, SSIM, 0.619661 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03400.bmp, PSNR, 27.326603, SSIM, 0.676198 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03403.bmp, PSNR, 28.559208, SSIM, 0.729779 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03439.bmp, PSNR, 22.560201, SSIM, 0.584598 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03589.bmp, PSNR, 19.573319, SSIM, 0.521128 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04208.bmp, PSNR, 17.960004, SSIM, 0.418198 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04733.bmp, PSNR, 25.862001, SSIM, 0.790371 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00689.bmp, PSNR, 23.164017, SSIM, 0.576238 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00705.bmp, PSNR, 39.360854, SSIM, 0.969966 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01043.bmp, PSNR, 27.129159, SSIM, 0.801545 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01048.bmp, PSNR, 33.900854, SSIM, 0.885742 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01276.bmp, PSNR, 48.337866, SSIM, 0.989948 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01283.bmp, PSNR, 16.896216, SSIM, 0.379157 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01706.bmp, PSNR, 26.376064, SSIM, 0.680812 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02315.bmp, PSNR, 26.060637, SSIM, 0.608316 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02817.bmp, PSNR, 38.151490, SSIM, 0.926705 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02830.bmp, PSNR, 35.144942, SSIM, 0.916870 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02831.bmp, PSNR, 19.879082, SSIM, 0.542629 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02832.bmp, PSNR, 33.875787, SSIM, 0.883529 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02917.bmp, PSNR, 23.017837, SSIM, 0.569869 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03337.bmp, PSNR, 25.403378, SSIM, 0.721936 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03400.bmp, PSNR, 29.445028, SSIM, 0.766310 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03403.bmp, PSNR, 30.270567, SSIM, 0.800555 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03439.bmp, PSNR, 25.008695, SSIM, 0.720865 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03589.bmp, PSNR, 21.678083, SSIM, 0.653296 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04208.bmp, PSNR, 19.409048, SSIM, 0.548625 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04733.bmp, PSNR, 29.192633, SSIM, 0.884593 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00689.bmp, PSNR, 24.148308, SSIM, 0.653772 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00705.bmp, PSNR, 41.866798, SSIM, 0.978938 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01043.bmp, PSNR, 28.646817, SSIM, 0.845323 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01048.bmp, PSNR, 35.872368, SSIM, 0.918815 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01276.bmp, PSNR, 49.935563, SSIM, 0.992638 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01283.bmp, PSNR, 17.791762, SSIM, 0.473370 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01706.bmp, PSNR, 27.709865, SSIM, 0.744620 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02315.bmp, PSNR, 27.073995, SSIM, 0.680757 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02817.bmp, PSNR, 39.711635, SSIM, 0.945011 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02830.bmp, PSNR, 36.938166, SSIM, 0.939506 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02831.bmp, PSNR, 21.136573, SSIM, 0.643066 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02832.bmp, PSNR, 35.727726, SSIM, 0.913275 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02917.bmp, PSNR, 24.434977, SSIM, 0.666052 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03337.bmp, PSNR, 26.878217, SSIM, 0.788653 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03400.bmp, PSNR, 31.127165, SSIM, 0.827906 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03403.bmp, PSNR, 31.595972, SSIM, 0.845834 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03439.bmp, PSNR, 26.825318, SSIM, 0.792168 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03589.bmp, PSNR, 23.171576, SSIM, 0.731491 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04208.bmp, PSNR, 20.630669, SSIM, 0.638414 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04733.bmp, PSNR, 31.879032, SSIM, 0.931032 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00689.bmp, PSNR, 25.075323, SSIM, 0.715733 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00705.bmp, PSNR, 43.679929, SSIM, 0.983775 
