Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00524.bmp, PSNR, 25.842595, SSIM, 0.694594 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00548.bmp, PSNR, 29.038060, SSIM, 0.767297 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00794.bmp, PSNR, 24.471529, SSIM, 0.754353 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01078.bmp, PSNR, 22.530121, SSIM, 0.719535 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01102.bmp, PSNR, 26.173109, SSIM, 0.700416 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01112.bmp, PSNR, 22.883888, SSIM, 0.515319 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01792.bmp, PSNR, 29.038060, SSIM, 0.767297 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01847.bmp, PSNR, 20.509388, SSIM, 0.567861 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01888.bmp, PSNR, 28.746119, SSIM, 0.768984 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02309.bmp, PSNR, 33.297515, SSIM, 0.904955 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02514.bmp, PSNR, 19.627680, SSIM, 0.342995 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02515.bmp, PSNR, 26.868767, SSIM, 0.584788 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03143.bmp, PSNR, 23.494278, SSIM, 0.781706 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03152.bmp, PSNR, 24.430933, SSIM, 0.697223 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03168.bmp, PSNR, 21.571834, SSIM, 0.582569 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03584.bmp, PSNR, 21.886722, SSIM, 0.548036 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03848.bmp, PSNR, 37.704073, SSIM, 0.951047 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03896.bmp, PSNR, 32.356177, SSIM, 0.854103 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04224.bmp, PSNR, 18.484027, SSIM, 0.353207 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04474.bmp, PSNR, 23.249321, SSIM, 0.691445 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00524.bmp, PSNR, 28.725950, SSIM, 0.809213 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00548.bmp, PSNR, 32.970009, SSIM, 0.884060 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00794.bmp, PSNR, 28.808603, SSIM, 0.873936 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01078.bmp, PSNR, 26.067953, SSIM, 0.849508 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01102.bmp, PSNR, 28.829863, SSIM, 0.783032 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01112.bmp, PSNR, 25.249841, SSIM, 0.661674 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01792.bmp, PSNR, 32.970009, SSIM, 0.884060 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01847.bmp, PSNR, 24.156854, SSIM, 0.754077 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01888.bmp, PSNR, 32.484613, SSIM, 0.879985 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02309.bmp, PSNR, 38.012415, SSIM, 0.959952 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02514.bmp, PSNR, 21.051529, SSIM, 0.482981 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02515.bmp, PSNR, 28.109026, SSIM, 0.651482 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03143.bmp, PSNR, 28.170231, SSIM, 0.895166 
