Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00170.bmp, PSNR, 28.976272, SSIM, 0.811082 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00228.bmp, PSNR, 33.313460, SSIM, 0.848348 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00232.bmp, PSNR, 30.929425, SSIM, 0.885308 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00242.bmp, PSNR, 25.977750, SSIM, 0.575782 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00244.bmp, PSNR, 23.750483, SSIM, 0.629608 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00246.bmp, PSNR, 38.869248, SSIM, 0.977348 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00249.bmp, PSNR, 24.473508, SSIM, 0.661598 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00258.bmp, PSNR, 33.076862, SSIM, 0.943731 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00415.bmp, PSNR, 22.395004, SSIM, 0.760951 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00471.bmp, PSNR, 29.703337, SSIM, 0.834121 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00559.bmp, PSNR, 26.574004, SSIM, 0.789557 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00560.bmp, PSNR, 23.511276, SSIM, 0.643127 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00733.bmp, PSNR, 24.994886, SSIM, 0.799839 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01279.bmp, PSNR, 22.345553, SSIM, 0.678736 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01790.bmp, PSNR, 22.908730, SSIM, 0.796477 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03133.bmp, PSNR, 26.580703, SSIM, 0.821952 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03349.bmp, PSNR, 26.230456, SSIM, 0.799353 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03407.bmp, PSNR, 24.828020, SSIM, 0.716828 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03784.bmp, PSNR, 23.579540, SSIM, 0.687968 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04702.bmp, PSNR, 23.336376, SSIM, 0.693386 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00170.bmp, PSNR, 31.987661, SSIM, 0.867867 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00228.bmp, PSNR, 35.869757, SSIM, 0.893202 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00232.bmp, PSNR, 35.317404, SSIM, 0.941617 
