Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00238.bmp, PSNR, 17.810553, SSIM, 0.619114 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00467.bmp, PSNR, 22.552436, SSIM, 0.640186 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00641.bmp, PSNR, 24.547689, SSIM, 0.590036 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00766.bmp, PSNR, 21.592732, SSIM, 0.630565 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00767.bmp, PSNR, 26.885597, SSIM, 0.706444 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01034.bmp, PSNR, 34.280094, SSIM, 0.896523 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01631.bmp, PSNR, 24.583804, SSIM, 0.617332 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01660.bmp, PSNR, 24.716551, SSIM, 0.696674 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02827.bmp, PSNR, 27.037175, SSIM, 0.776715 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02913.bmp, PSNR, 23.608416, SSIM, 0.535682 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03083.bmp, PSNR, 24.514180, SSIM, 0.746537 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03581.bmp, PSNR, 32.063869, SSIM, 0.866372 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03766.bmp, PSNR, 24.503339, SSIM, 0.669869 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03907.bmp, PSNR, 28.906559, SSIM, 0.720786 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04134.bmp, PSNR, 33.610200, SSIM, 0.916040 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04576.bmp, PSNR, 29.802777, SSIM, 0.887471 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04582.bmp, PSNR, 23.778759, SSIM, 0.707917 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04694.bmp, PSNR, 30.144835, SSIM, 0.830434 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04695.bmp, PSNR, 30.745494, SSIM, 0.801418 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04699.bmp, PSNR, 30.577436, SSIM, 0.801178 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00238.bmp, PSNR, 23.418793, SSIM, 0.827472 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00467.bmp, PSNR, 25.895473, SSIM, 0.795354 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00641.bmp, PSNR, 26.615657, SSIM, 0.712463 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00766.bmp, PSNR, 24.424911, SSIM, 0.755044 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00767.bmp, PSNR, 29.082726, SSIM, 0.795362 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01034.bmp, PSNR, 37.060383, SSIM, 0.931412 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01631.bmp, PSNR, 26.752360, SSIM, 0.729452 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01660.bmp, PSNR, 28.517235, SSIM, 0.841161 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02827.bmp, PSNR, 29.866821, SSIM, 0.854113 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02913.bmp, PSNR, 25.544112, SSIM, 0.653797 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03083.bmp, PSNR, 27.771519, SSIM, 0.856635 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03581.bmp, PSNR, 34.833078, SSIM, 0.907611 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03766.bmp, PSNR, 28.561846, SSIM, 0.816997 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03907.bmp, PSNR, 30.482159, SSIM, 0.775535 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04134.bmp, PSNR, 37.520595, SSIM, 0.954786 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04576.bmp, PSNR, 34.589928, SSIM, 0.945442 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04582.bmp, PSNR, 27.267358, SSIM, 0.832420 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04694.bmp, PSNR, 33.507002, SSIM, 0.904042 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04695.bmp, PSNR, 33.379778, SSIM, 0.861758 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04699.bmp, PSNR, 32.891592, SSIM, 0.861992 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00238.bmp, PSNR, 25.907244, SSIM, 0.888176 
