Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00001.bmp, PSNR, 32.797463, SSIM, 0.883295 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00004.bmp, PSNR, 15.533923, SSIM, 0.398572 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00013.bmp, PSNR, 19.062320, SSIM, 0.516845 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00021.bmp, PSNR, 30.042250, SSIM, 0.847189 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00026.bmp, PSNR, 31.008029, SSIM, 0.897570 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00102.bmp, PSNR, 25.264098, SSIM, 0.810362 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00135.bmp, PSNR, 25.504747, SSIM, 0.785378 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00883.bmp, PSNR, 29.238499, SSIM, 0.824725 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00888.bmp, PSNR, 22.353646, SSIM, 0.620303 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00947.bmp, PSNR, 18.156773, SSIM, 0.579645 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01068.bmp, PSNR, 26.841507, SSIM, 0.791909 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01712.bmp, PSNR, 20.337416, SSIM, 0.617657 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02174.bmp, PSNR, 26.920652, SSIM, 0.831846 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02748.bmp, PSNR, 30.375072, SSIM, 0.904668 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02771.bmp, PSNR, 26.666247, SSIM, 0.738011 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02834.bmp, PSNR, 30.563803, SSIM, 0.809901 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03427.bmp, PSNR, 22.202006, SSIM, 0.663150 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03769.bmp, PSNR, 22.112316, SSIM, 0.560296 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03903.bmp, PSNR, 30.186174, SSIM, 0.871442 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03945.bmp, PSNR, 28.467678, SSIM, 0.914779 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00001.bmp, PSNR, 36.659815, SSIM, 0.942960 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00004.bmp, PSNR, 17.135003, SSIM, 0.531856 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00013.bmp, PSNR, 21.311652, SSIM, 0.675750 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00021.bmp, PSNR, 34.121373, SSIM, 0.926044 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00026.bmp, PSNR, 34.534599, SSIM, 0.944609 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00102.bmp, PSNR, 30.091116, SSIM, 0.918924 
