Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00689.bmp, PSNR, 21.802618, SSIM, 0.480359 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00705.bmp, PSNR, 35.972413, SSIM, 0.952822 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01043.bmp, PSNR, 24.958109, SSIM, 0.703630 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01048.bmp, PSNR, 31.471420, SSIM, 0.827079 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01276.bmp, PSNR, 45.486489, SSIM, 0.983520 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01283.bmp, PSNR, 15.800040, SSIM, 0.265042 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01706.bmp, PSNR, 24.826263, SSIM, 0.596127 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02315.bmp, PSNR, 24.460225, SSIM, 0.485704 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02817.bmp, PSNR, 36.150731, SSIM, 0.901026 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02830.bmp, PSNR, 32.485266, SSIM, 0.871650 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02831.bmp, PSNR, 18.344690, SSIM, 0.408656 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02832.bmp, PSNR, 31.580007, SSIM, 0.842326 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02917.bmp, PSNR, 21.125832, SSIM, 0.425058 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03337.bmp, PSNR, 23.572211, SSIM, 0.620282 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03400.bmp, PSNR, 27.231596, SSIM, 0.676933 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03403.bmp, PSNR, 28.505819, SSIM, 0.727262 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03439.bmp, PSNR, 22.628889, SSIM, 0.595281 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03589.bmp, PSNR, 19.402854, SSIM, 0.496203 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04208.bmp, PSNR, 18.015192, SSIM, 0.412653 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04733.bmp, PSNR, 25.819898, SSIM, 0.791014 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00689.bmp, PSNR, 23.153355, SSIM, 0.581892 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00705.bmp, PSNR, 39.440923, SSIM, 0.970645 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01043.bmp, PSNR, 26.998272, SSIM, 0.796072 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01048.bmp, PSNR, 34.156275, SSIM, 0.887993 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01276.bmp, PSNR, 48.273328, SSIM, 0.989917 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01283.bmp, PSNR, 16.851781, SSIM, 0.365223 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01706.bmp, PSNR, 26.485276, SSIM, 0.684263 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02315.bmp, PSNR, 26.049977, SSIM, 0.610917 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02817.bmp, PSNR, 38.139946, SSIM, 0.926436 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02830.bmp, PSNR, 35.256311, SSIM, 0.918196 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02831.bmp, PSNR, 19.929867, SSIM, 0.558199 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02832.bmp, PSNR, 33.936330, SSIM, 0.884527 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02917.bmp, PSNR, 22.981730, SSIM, 0.567779 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03337.bmp, PSNR, 25.459531, SSIM, 0.721678 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03400.bmp, PSNR, 29.534810, SSIM, 0.770992 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03403.bmp, PSNR, 30.160416, SSIM, 0.797645 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03439.bmp, PSNR, 25.087250, SSIM, 0.725191 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03589.bmp, PSNR, 21.790097, SSIM, 0.659792 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04208.bmp, PSNR, 19.544990, SSIM, 0.559730 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04733.bmp, PSNR, 29.285552, SSIM, 0.886359 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00689.bmp, PSNR, 24.225866, SSIM, 0.661478 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00705.bmp, PSNR, 42.042517, SSIM, 0.979903 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01043.bmp, PSNR, 28.653183, SSIM, 0.846180 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01048.bmp, PSNR, 35.976553, SSIM, 0.920458 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01276.bmp, PSNR, 50.005996, SSIM, 0.992704 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01283.bmp, PSNR, 17.717501, SSIM, 0.462204 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01706.bmp, PSNR, 27.658491, SSIM, 0.743397 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02315.bmp, PSNR, 27.046152, SSIM, 0.676874 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02817.bmp, PSNR, 39.781406, SSIM, 0.945475 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02830.bmp, PSNR, 37.036963, SSIM, 0.940283 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02831.bmp, PSNR, 21.248463, SSIM, 0.650108 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02832.bmp, PSNR, 35.748637, SSIM, 0.913656 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02917.bmp, PSNR, 24.468577, SSIM, 0.664258 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03337.bmp, PSNR, 26.918121, SSIM, 0.791017 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03400.bmp, PSNR, 31.201821, SSIM, 0.829174 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03403.bmp, PSNR, 31.698365, SSIM, 0.850339 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03439.bmp, PSNR, 26.894935, SSIM, 0.795423 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03589.bmp, PSNR, 23.181058, SSIM, 0.720993 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04208.bmp, PSNR, 20.756708, SSIM, 0.649079 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04733.bmp, PSNR, 31.766378, SSIM, 0.929135 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00689.bmp, PSNR, 25.190074, SSIM, 0.722262 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00705.bmp, PSNR, 43.887320, SSIM, 0.984579 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01043.bmp, PSNR, 30.155522, SSIM, 0.881260 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01048.bmp, PSNR, 37.381087, SSIM, 0.937118 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01276.bmp, PSNR, 50.620730, SSIM, 0.993488 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01283.bmp, PSNR, 18.637344, SSIM, 0.546020 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01706.bmp, PSNR, 28.901351, SSIM, 0.792046 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02315.bmp, PSNR, 28.022079, SSIM, 0.734883 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02817.bmp, PSNR, 41.091203, SSIM, 0.957440 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02830.bmp, PSNR, 38.815648, SSIM, 0.956558 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02831.bmp, PSNR, 22.390786, SSIM, 0.721097 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02832.bmp, PSNR, 36.975939, SSIM, 0.929465 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02917.bmp, PSNR, 25.647189, SSIM, 0.732930 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03337.bmp, PSNR, 28.086622, SSIM, 0.834590 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03400.bmp, PSNR, 32.559135, SSIM, 0.868943 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03403.bmp, PSNR, 32.875322, SSIM, 0.880095 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03439.bmp, PSNR, 28.342165, SSIM, 0.843259 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03589.bmp, PSNR, 24.581374, SSIM, 0.790141 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 04208.bmp, PSNR, 21.665624, SSIM, 0.708248 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 04733.bmp, PSNR, 34.255512, SSIM, 0.955203 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00689.bmp, PSNR, 25.907756, SSIM, 0.763158 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00705.bmp, PSNR, 45.445246, SSIM, 0.987910 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01043.bmp, PSNR, 31.330016, SSIM, 0.901869 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01048.bmp, PSNR, 38.860362, SSIM, 0.953755 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01276.bmp, PSNR, 51.117215, SSIM, 0.994023 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01283.bmp, PSNR, 19.567461, SSIM, 0.614313 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01706.bmp, PSNR, 29.917291, SSIM, 0.825169 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02315.bmp, PSNR, 28.995833, SSIM, 0.785131 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02817.bmp, PSNR, 42.103529, SSIM, 0.964733 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02830.bmp, PSNR, 40.373513, SSIM, 0.966854 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02831.bmp, PSNR, 23.463516, SSIM, 0.776814 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02832.bmp, PSNR, 38.361383, SSIM, 0.943977 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02917.bmp, PSNR, 26.666518, SSIM, 0.778934 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03337.bmp, PSNR, 29.503613, SSIM, 0.872411 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03400.bmp, PSNR, 33.877010, SSIM, 0.898350 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03403.bmp, PSNR, 33.994599, SSIM, 0.903688 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03439.bmp, PSNR, 29.684501, SSIM, 0.876345 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03589.bmp, PSNR, 25.907112, SSIM, 0.834696 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 04208.bmp, PSNR, 22.652206, SSIM, 0.762137 
