Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00524.bmp, PSNR, 25.863883, SSIM, 0.699485 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00548.bmp, PSNR, 29.353120, SSIM, 0.780198 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00794.bmp, PSNR, 24.768511, SSIM, 0.761031 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01078.bmp, PSNR, 22.469819, SSIM, 0.709838 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01102.bmp, PSNR, 26.189537, SSIM, 0.697960 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01112.bmp, PSNR, 23.001028, SSIM, 0.533990 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01792.bmp, PSNR, 29.437064, SSIM, 0.782792 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01847.bmp, PSNR, 20.739731, SSIM, 0.592834 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01888.bmp, PSNR, 28.605360, SSIM, 0.769572 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02309.bmp, PSNR, 33.571117, SSIM, 0.907525 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02514.bmp, PSNR, 19.566055, SSIM, 0.331984 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02515.bmp, PSNR, 26.895947, SSIM, 0.583365 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03143.bmp, PSNR, 23.539819, SSIM, 0.780881 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03152.bmp, PSNR, 24.569268, SSIM, 0.701968 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03168.bmp, PSNR, 21.588155, SSIM, 0.585651 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03584.bmp, PSNR, 22.117780, SSIM, 0.566634 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03848.bmp, PSNR, 38.032427, SSIM, 0.953403 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03896.bmp, PSNR, 32.720113, SSIM, 0.861953 
