Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00171.bmp, PSNR, 31.599306, SSIM, 0.905032 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00173.bmp, PSNR, 24.598010, SSIM, 0.706596 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00180.bmp, PSNR, 20.712451, SSIM, 0.694344 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00598.bmp, PSNR, 27.925925, SSIM, 0.882786 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00602.bmp, PSNR, 24.735489, SSIM, 0.740841 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00604.bmp, PSNR, 23.322631, SSIM, 0.552974 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00741.bmp, PSNR, 23.592951, SSIM, 0.680338 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00790.bmp, PSNR, 33.816123, SSIM, 0.953913 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00880.bmp, PSNR, 23.163401, SSIM, 0.699731 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00892.bmp, PSNR, 21.064562, SSIM, 0.716390 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00986.bmp, PSNR, 28.343665, SSIM, 0.826116 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01544.bmp, PSNR, 20.129248, SSIM, 0.638004 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01594.bmp, PSNR, 23.143731, SSIM, 0.598976 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03266.bmp, PSNR, 37.355962, SSIM, 0.936769 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03275.bmp, PSNR, 22.001276, SSIM, 0.611566 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03499.bmp, PSNR, 36.294434, SSIM, 0.930672 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03906.bmp, PSNR, 29.149629, SSIM, 0.786216 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04076.bmp, PSNR, 22.397090, SSIM, 0.671564 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04519.bmp, PSNR, 18.813168, SSIM, 0.469782 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04735.bmp, PSNR, 30.471220, SSIM, 0.842317 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00171.bmp, PSNR, 36.028144, SSIM, 0.951587 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00173.bmp, PSNR, 28.093037, SSIM, 0.799470 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00180.bmp, PSNR, 24.218225, SSIM, 0.847677 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00598.bmp, PSNR, 33.478245, SSIM, 0.949717 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00602.bmp, PSNR, 28.024012, SSIM, 0.858203 
