Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00170.bmp, PSNR, 29.173366, SSIM, 0.819273 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00228.bmp, PSNR, 33.585410, SSIM, 0.855363 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00232.bmp, PSNR, 30.921864, SSIM, 0.883838 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00242.bmp, PSNR, 26.010215, SSIM, 0.585453 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00244.bmp, PSNR, 23.890348, SSIM, 0.637698 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00246.bmp, PSNR, 39.514056, SSIM, 0.980096 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00249.bmp, PSNR, 24.699394, SSIM, 0.674349 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00258.bmp, PSNR, 33.201739, SSIM, 0.945825 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00415.bmp, PSNR, 22.617160, SSIM, 0.753156 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00471.bmp, PSNR, 30.015814, SSIM, 0.842766 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00559.bmp, PSNR, 26.783950, SSIM, 0.798328 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00560.bmp, PSNR, 23.732258, SSIM, 0.651798 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00733.bmp, PSNR, 25.168256, SSIM, 0.819522 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01279.bmp, PSNR, 22.367346, SSIM, 0.688306 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01790.bmp, PSNR, 23.124917, SSIM, 0.804900 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03133.bmp, PSNR, 26.577458, SSIM, 0.817669 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03349.bmp, PSNR, 26.906009, SSIM, 0.821497 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03407.bmp, PSNR, 24.817620, SSIM, 0.705458 
