Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00191.bmp, PSNR, 32.073484, SSIM, 0.874986 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00209.bmp, PSNR, 32.730192, SSIM, 0.885229 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00221.bmp, PSNR, 23.894893, SSIM, 0.650195 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00310.bmp, PSNR, 28.541960, SSIM, 0.829259 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00348.bmp, PSNR, 20.670251, SSIM, 0.656222 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00510.bmp, PSNR, 26.104252, SSIM, 0.755879 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00566.bmp, PSNR, 31.923992, SSIM, 0.920527 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00639.bmp, PSNR, 21.716988, SSIM, 0.742649 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00643.bmp, PSNR, 22.859579, SSIM, 0.712222 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00760.bmp, PSNR, 23.449879, SSIM, 0.694326 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00835.bmp, PSNR, 27.692461, SSIM, 0.810651 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00910.bmp, PSNR, 24.224319, SSIM, 0.738618 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00927.bmp, PSNR, 25.872309, SSIM, 0.790925 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01673.bmp, PSNR, 30.841522, SSIM, 0.907206 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02947.bmp, PSNR, 26.228042, SSIM, 0.773566 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02955.bmp, PSNR, 34.042489, SSIM, 0.918619 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03191.bmp, PSNR, 23.655572, SSIM, 0.769157 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03294.bmp, PSNR, 24.028043, SSIM, 0.664048 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04001.bmp, PSNR, 23.215753, SSIM, 0.740832 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04723.bmp, PSNR, 26.248401, SSIM, 0.839903 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00191.bmp, PSNR, 35.470337, SSIM, 0.925029 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00209.bmp, PSNR, 36.085038, SSIM, 0.931897 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00221.bmp, PSNR, 27.012649, SSIM, 0.794433 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00310.bmp, PSNR, 32.271928, SSIM, 0.905918 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00348.bmp, PSNR, 24.499416, SSIM, 0.808534 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00510.bmp, PSNR, 30.119891, SSIM, 0.866402 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00566.bmp, PSNR, 37.668469, SSIM, 0.971136 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00639.bmp, PSNR, 25.594556, SSIM, 0.869914 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00643.bmp, PSNR, 27.665421, SSIM, 0.860310 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00760.bmp, PSNR, 27.107221, SSIM, 0.832765 
