Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00689.bmp, PSNR, 21.715102, SSIM, 0.476141 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00705.bmp, PSNR, 35.685120, SSIM, 0.951527 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01043.bmp, PSNR, 24.959239, SSIM, 0.708595 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01048.bmp, PSNR, 31.328117, SSIM, 0.824778 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01276.bmp, PSNR, 45.338455, SSIM, 0.982678 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01283.bmp, PSNR, 15.773089, SSIM, 0.257588 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01706.bmp, PSNR, 24.723327, SSIM, 0.589707 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02315.bmp, PSNR, 24.532365, SSIM, 0.510110 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02817.bmp, PSNR, 36.000446, SSIM, 0.896036 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02830.bmp, PSNR, 32.374270, SSIM, 0.868774 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02831.bmp, PSNR, 18.272921, SSIM, 0.399512 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02832.bmp, PSNR, 31.511130, SSIM, 0.838979 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02917.bmp, PSNR, 21.024587, SSIM, 0.410241 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03337.bmp, PSNR, 23.552034, SSIM, 0.621377 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03400.bmp, PSNR, 27.497016, SSIM, 0.685865 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03403.bmp, PSNR, 28.381947, SSIM, 0.721393 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03439.bmp, PSNR, 22.621564, SSIM, 0.590773 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03589.bmp, PSNR, 19.520150, SSIM, 0.515517 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04208.bmp, PSNR, 17.956306, SSIM, 0.417647 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04733.bmp, PSNR, 26.064887, SSIM, 0.795949 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00689.bmp, PSNR, 23.110916, SSIM, 0.576692 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00705.bmp, PSNR, 39.434128, SSIM, 0.970238 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01043.bmp, PSNR, 27.028345, SSIM, 0.798345 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01048.bmp, PSNR, 33.960938, SSIM, 0.887014 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01276.bmp, PSNR, 48.301653, SSIM, 0.989953 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01283.bmp, PSNR, 16.903638, SSIM, 0.378450 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01706.bmp, PSNR, 26.477085, SSIM, 0.681613 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02315.bmp, PSNR, 26.050298, SSIM, 0.613754 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02817.bmp, PSNR, 38.207693, SSIM, 0.926949 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02830.bmp, PSNR, 35.193352, SSIM, 0.917098 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02831.bmp, PSNR, 19.868347, SSIM, 0.535722 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02832.bmp, PSNR, 33.830979, SSIM, 0.882246 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02917.bmp, PSNR, 23.045844, SSIM, 0.570535 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03337.bmp, PSNR, 25.374616, SSIM, 0.720561 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03400.bmp, PSNR, 29.372453, SSIM, 0.764708 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03403.bmp, PSNR, 30.215695, SSIM, 0.799057 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03439.bmp, PSNR, 25.007915, SSIM, 0.721129 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03589.bmp, PSNR, 21.586796, SSIM, 0.642630 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04208.bmp, PSNR, 19.483084, SSIM, 0.545107 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04733.bmp, PSNR, 29.224340, SSIM, 0.884125 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00689.bmp, PSNR, 24.256489, SSIM, 0.658976 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00705.bmp, PSNR, 41.881652, SSIM, 0.978834 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01043.bmp, PSNR, 28.521671, SSIM, 0.842989 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01048.bmp, PSNR, 35.805229, SSIM, 0.917004 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01276.bmp, PSNR, 49.789118, SSIM, 0.992352 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01283.bmp, PSNR, 17.722145, SSIM, 0.460719 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01706.bmp, PSNR, 27.683375, SSIM, 0.746331 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02315.bmp, PSNR, 27.093096, SSIM, 0.682737 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02817.bmp, PSNR, 39.591291, SSIM, 0.943864 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02830.bmp, PSNR, 37.093858, SSIM, 0.940637 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02831.bmp, PSNR, 21.195880, SSIM, 0.643310 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02832.bmp, PSNR, 35.598613, SSIM, 0.911910 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02917.bmp, PSNR, 24.485687, SSIM, 0.663770 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03337.bmp, PSNR, 26.752371, SSIM, 0.785041 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03400.bmp, PSNR, 31.003917, SSIM, 0.822681 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03403.bmp, PSNR, 31.555329, SSIM, 0.845078 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03439.bmp, PSNR, 26.821539, SSIM, 0.793464 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03589.bmp, PSNR, 23.321341, SSIM, 0.733894 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04208.bmp, PSNR, 20.647735, SSIM, 0.646705 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04733.bmp, PSNR, 31.772729, SSIM, 0.928733 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00689.bmp, PSNR, 25.057523, SSIM, 0.713453 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00705.bmp, PSNR, 43.713688, SSIM, 0.984356 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01043.bmp, PSNR, 30.045925, SSIM, 0.878941 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01048.bmp, PSNR, 37.302663, SSIM, 0.936159 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01276.bmp, PSNR, 50.337591, SSIM, 0.993042 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01283.bmp, PSNR, 18.620657, SSIM, 0.541679 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01706.bmp, PSNR, 28.840507, SSIM, 0.790414 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02315.bmp, PSNR, 28.060050, SSIM, 0.738858 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02817.bmp, PSNR, 41.008442, SSIM, 0.956635 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02830.bmp, PSNR, 38.712279, SSIM, 0.955579 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02831.bmp, PSNR, 22.253819, SSIM, 0.718375 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02832.bmp, PSNR, 36.913003, SSIM, 0.929008 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02917.bmp, PSNR, 25.663080, SSIM, 0.732288 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03337.bmp, PSNR, 28.131002, SSIM, 0.833307 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03400.bmp, PSNR, 32.521179, SSIM, 0.868596 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03403.bmp, PSNR, 32.819741, SSIM, 0.879054 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03439.bmp, PSNR, 28.407059, SSIM, 0.844685 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03589.bmp, PSNR, 24.481343, SSIM, 0.788105 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 04208.bmp, PSNR, 21.620111, SSIM, 0.703315 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 04733.bmp, PSNR, 34.092733, SSIM, 0.954058 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00689.bmp, PSNR, 25.919271, SSIM, 0.759149 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00705.bmp, PSNR, 45.498772, SSIM, 0.987879 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01043.bmp, PSNR, 31.304557, SSIM, 0.899973 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01048.bmp, PSNR, 38.725612, SSIM, 0.952632 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01276.bmp, PSNR, 51.197486, SSIM, 0.994152 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01283.bmp, PSNR, 19.401066, SSIM, 0.602654 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01706.bmp, PSNR, 29.827464, SSIM, 0.822320 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02315.bmp, PSNR, 28.922577, SSIM, 0.785008 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02817.bmp, PSNR, 42.165624, SSIM, 0.965324 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02830.bmp, PSNR, 40.263880, SSIM, 0.966525 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02831.bmp, PSNR, 23.388086, SSIM, 0.769147 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02832.bmp, PSNR, 38.167377, SSIM, 0.942314 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02917.bmp, PSNR, 26.695667, SSIM, 0.780059 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03337.bmp, PSNR, 29.482947, SSIM, 0.873330 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03400.bmp, PSNR, 33.811483, SSIM, 0.897236 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03403.bmp, PSNR, 34.051663, SSIM, 0.905192 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03439.bmp, PSNR, 29.710560, SSIM, 0.875132 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03589.bmp, PSNR, 25.956530, SSIM, 0.832914 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 04208.bmp, PSNR, 22.584685, SSIM, 0.756787 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 04733.bmp, PSNR, 35.610659, SSIM, 0.963621 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00689.bmp, PSNR, 26.876761, SSIM, 0.806331 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00705.bmp, PSNR, 46.639605, SSIM, 0.989886 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 01043.bmp, PSNR, 32.757620, SSIM, 0.922382 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 01048.bmp, PSNR, 40.282433, SSIM, 0.964691 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 01276.bmp, PSNR, 52.494366, SSIM, 0.995521 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 01283.bmp, PSNR, 20.277092, SSIM, 0.665279 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 01706.bmp, PSNR, 30.801264, SSIM, 0.847450 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 02315.bmp, PSNR, 29.788909, SSIM, 0.820151 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 02817.bmp, PSNR, 43.054471, SSIM, 0.970749 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 02830.bmp, PSNR, 41.557278, SSIM, 0.973324 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 02831.bmp, PSNR, 24.455564, SSIM, 0.815197 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 02832.bmp, PSNR, 39.405969, SSIM, 0.953500 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 02917.bmp, PSNR, 27.585677, SSIM, 0.818648 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03337.bmp, PSNR, 30.649305, SSIM, 0.899372 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03400.bmp, PSNR, 34.749865, SSIM, 0.914366 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03403.bmp, PSNR, 35.182745, SSIM, 0.925513 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03439.bmp, PSNR, 30.909986, SSIM, 0.901946 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03589.bmp, PSNR, 27.163557, SSIM, 0.868959 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 04208.bmp, PSNR, 23.426482, SSIM, 0.797916 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 04733.bmp, PSNR, 37.463180, SSIM, 0.974058 
