Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00524.bmp, PSNR, 25.704076, SSIM, 0.684115 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00548.bmp, PSNR, 29.434778, SSIM, 0.783444 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00794.bmp, PSNR, 24.782041, SSIM, 0.762198 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01078.bmp, PSNR, 22.396896, SSIM, 0.714194 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01102.bmp, PSNR, 26.364268, SSIM, 0.696623 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01112.bmp, PSNR, 22.837300, SSIM, 0.518029 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01792.bmp, PSNR, 29.109107, SSIM, 0.767392 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01847.bmp, PSNR, 20.672822, SSIM, 0.582843 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01888.bmp, PSNR, 28.472309, SSIM, 0.763015 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02309.bmp, PSNR, 33.333138, SSIM, 0.904262 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02514.bmp, PSNR, 19.473631, SSIM, 0.330132 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 02515.bmp, PSNR, 26.743396, SSIM, 0.579845 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03143.bmp, PSNR, 23.260286, SSIM, 0.770574 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03152.bmp, PSNR, 24.422315, SSIM, 0.694649 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03168.bmp, PSNR, 21.563989, SSIM, 0.593677 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03584.bmp, PSNR, 21.833257, SSIM, 0.544412 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03848.bmp, PSNR, 38.154432, SSIM, 0.953790 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03896.bmp, PSNR, 32.482088, SSIM, 0.856919 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04224.bmp, PSNR, 18.516925, SSIM, 0.352184 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04474.bmp, PSNR, 23.094587, SSIM, 0.679385 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00524.bmp, PSNR, 28.567399, SSIM, 0.801534 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00548.bmp, PSNR, 33.191357, SSIM, 0.886922 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00794.bmp, PSNR, 28.541994, SSIM, 0.866257 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01078.bmp, PSNR, 25.975602, SSIM, 0.849360 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01102.bmp, PSNR, 28.815087, SSIM, 0.780814 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01112.bmp, PSNR, 25.238353, SSIM, 0.659026 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01792.bmp, PSNR, 33.067500, SSIM, 0.884128 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01847.bmp, PSNR, 24.111028, SSIM, 0.751693 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01888.bmp, PSNR, 32.385843, SSIM, 0.881333 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02309.bmp, PSNR, 37.959965, SSIM, 0.958774 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02514.bmp, PSNR, 20.999484, SSIM, 0.476232 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 02515.bmp, PSNR, 28.139484, SSIM, 0.653323 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03143.bmp, PSNR, 28.102733, SSIM, 0.894929 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03152.bmp, PSNR, 28.538791, SSIM, 0.870094 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03168.bmp, PSNR, 22.747794, SSIM, 0.672526 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03584.bmp, PSNR, 25.390512, SSIM, 0.734631 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03848.bmp, PSNR, 40.880550, SSIM, 0.969410 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03896.bmp, PSNR, 35.459623, SSIM, 0.905545 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04224.bmp, PSNR, 19.952411, SSIM, 0.483582 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04474.bmp, PSNR, 27.305760, SSIM, 0.843970 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00524.bmp, PSNR, 30.960146, SSIM, 0.872768 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00548.bmp, PSNR, 35.609010, SSIM, 0.930106 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00794.bmp, PSNR, 31.742691, SSIM, 0.926408 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01078.bmp, PSNR, 28.843750, SSIM, 0.910816 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01102.bmp, PSNR, 30.496797, SSIM, 0.831855 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01112.bmp, PSNR, 27.198133, SSIM, 0.766091 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01792.bmp, PSNR, 35.705665, SSIM, 0.930934 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01847.bmp, PSNR, 26.795516, SSIM, 0.844230 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01888.bmp, PSNR, 35.516576, SSIM, 0.934475 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02309.bmp, PSNR, 40.048798, SSIM, 0.970443 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02514.bmp, PSNR, 22.193159, SSIM, 0.581890 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 02515.bmp, PSNR, 29.170784, SSIM, 0.707187 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03143.bmp, PSNR, 31.597861, SSIM, 0.941383 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03152.bmp, PSNR, 31.947382, SSIM, 0.936219 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03168.bmp, PSNR, 23.721710, SSIM, 0.740968 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03584.bmp, PSNR, 27.717835, SSIM, 0.819743 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03848.bmp, PSNR, 42.498572, SSIM, 0.976606 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03896.bmp, PSNR, 37.056266, SSIM, 0.926810 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04224.bmp, PSNR, 21.289869, SSIM, 0.586200 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04474.bmp, PSNR, 30.160568, SSIM, 0.909404 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00524.bmp, PSNR, 33.089444, SSIM, 0.916244 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00548.bmp, PSNR, 37.172554, SSIM, 0.948009 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00794.bmp, PSNR, 34.204432, SSIM, 0.952747 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01078.bmp, PSNR, 31.381723, SSIM, 0.944038 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01102.bmp, PSNR, 31.857339, SSIM, 0.866634 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01112.bmp, PSNR, 29.031268, SSIM, 0.839029 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01792.bmp, PSNR, 37.157828, SSIM, 0.947697 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01847.bmp, PSNR, 28.798794, SSIM, 0.890674 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 01888.bmp, PSNR, 38.023641, SSIM, 0.960442 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02309.bmp, PSNR, 41.641072, SSIM, 0.976757 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02514.bmp, PSNR, 23.310797, SSIM, 0.662961 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 02515.bmp, PSNR, 30.303920, SSIM, 0.756871 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03143.bmp, PSNR, 34.360087, SSIM, 0.964946 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03152.bmp, PSNR, 34.468730, SSIM, 0.961805 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03168.bmp, PSNR, 24.738977, SSIM, 0.793569 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03584.bmp, PSNR, 29.711313, SSIM, 0.874394 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03848.bmp, PSNR, 44.003181, SSIM, 0.982165 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 03896.bmp, PSNR, 38.223300, SSIM, 0.940261 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 04224.bmp, PSNR, 22.373074, SSIM, 0.669175 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 04474.bmp, PSNR, 32.569020, SSIM, 0.940614 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00524.bmp, PSNR, 34.712190, SSIM, 0.939022 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00548.bmp, PSNR, 38.661367, SSIM, 0.961592 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 00794.bmp, PSNR, 35.930203, SSIM, 0.965043 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01078.bmp, PSNR, 33.520426, SSIM, 0.964014 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01102.bmp, PSNR, 33.016222, SSIM, 0.891974 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01112.bmp, PSNR, 30.710551, SSIM, 0.885240 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01792.bmp, PSNR, 38.846917, SSIM, 0.962975 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01847.bmp, PSNR, 30.585298, SSIM, 0.920175 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 01888.bmp, PSNR, 39.996898, SSIM, 0.973766 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02309.bmp, PSNR, 43.300817, SSIM, 0.983038 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02514.bmp, PSNR, 24.231868, SSIM, 0.722687 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 02515.bmp, PSNR, 31.039427, SSIM, 0.788327 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03143.bmp, PSNR, 35.703574, SSIM, 0.971956 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03152.bmp, PSNR, 35.960250, SSIM, 0.971345 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03168.bmp, PSNR, 25.802105, SSIM, 0.827205 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03584.bmp, PSNR, 31.425848, SSIM, 0.910354 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03848.bmp, PSNR, 45.137772, SSIM, 0.985156 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 03896.bmp, PSNR, 39.268676, SSIM, 0.950696 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 04224.bmp, PSNR, 23.310835, SSIM, 0.729331 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.250000, Image_name, 04474.bmp, PSNR, 34.768022, SSIM, 0.960689 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00524.bmp, PSNR, 35.575247, SSIM, 0.946001 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00548.bmp, PSNR, 40.296855, SSIM, 0.972240 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 00794.bmp, PSNR, 37.638269, SSIM, 0.975211 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 01078.bmp, PSNR, 35.260477, SSIM, 0.972574 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 01102.bmp, PSNR, 33.684685, SSIM, 0.903274 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 01112.bmp, PSNR, 32.132689, SSIM, 0.914370 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 01792.bmp, PSNR, 40.339911, SSIM, 0.972579 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 01847.bmp, PSNR, 32.149277, SSIM, 0.940306 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 01888.bmp, PSNR, 42.027278, SSIM, 0.983191 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 02309.bmp, PSNR, 44.530114, SSIM, 0.986062 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 02514.bmp, PSNR, 25.131978, SSIM, 0.771836 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 02515.bmp, PSNR, 31.849040, SSIM, 0.817695 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03143.bmp, PSNR, 37.330456, SSIM, 0.979738 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03152.bmp, PSNR, 37.574762, SSIM, 0.979229 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03168.bmp, PSNR, 27.059697, SSIM, 0.869200 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03584.bmp, PSNR, 32.941770, SSIM, 0.933876 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03848.bmp, PSNR, 46.111292, SSIM, 0.987782 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 03896.bmp, PSNR, 40.075034, SSIM, 0.957778 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 04224.bmp, PSNR, 24.383834, SSIM, 0.783123 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.300000, Image_name, 04474.bmp, PSNR, 35.724212, SSIM, 0.964231 
