Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00171.bmp, PSNR, 31.137875, SSIM, 0.898380 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00173.bmp, PSNR, 24.566812, SSIM, 0.707067 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00180.bmp, PSNR, 20.837984, SSIM, 0.711352 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00598.bmp, PSNR, 27.332077, SSIM, 0.875038 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00602.bmp, PSNR, 24.731473, SSIM, 0.734696 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00604.bmp, PSNR, 23.235436, SSIM, 0.549651 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00741.bmp, PSNR, 23.016420, SSIM, 0.638151 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00790.bmp, PSNR, 33.305747, SSIM, 0.950817 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00880.bmp, PSNR, 23.234270, SSIM, 0.707382 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00892.bmp, PSNR, 20.648194, SSIM, 0.714600 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 00986.bmp, PSNR, 28.437401, SSIM, 0.829776 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01544.bmp, PSNR, 19.967893, SSIM, 0.646341 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 01594.bmp, PSNR, 23.338379, SSIM, 0.608968 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03266.bmp, PSNR, 37.000864, SSIM, 0.935429 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03275.bmp, PSNR, 21.921979, SSIM, 0.612268 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03499.bmp, PSNR, 35.910818, SSIM, 0.925452 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 03906.bmp, PSNR, 28.638287, SSIM, 0.772048 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04076.bmp, PSNR, 22.254740, SSIM, 0.675885 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04519.bmp, PSNR, 18.688826, SSIM, 0.467631 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.050000, Image_name, 04735.bmp, PSNR, 30.328677, SSIM, 0.838333 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00171.bmp, PSNR, 35.677409, SSIM, 0.950128 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00173.bmp, PSNR, 27.867151, SSIM, 0.795042 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00180.bmp, PSNR, 23.913710, SSIM, 0.846159 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00598.bmp, PSNR, 33.056221, SSIM, 0.945378 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00602.bmp, PSNR, 28.109054, SSIM, 0.856710 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00604.bmp, PSNR, 25.336649, SSIM, 0.676494 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00741.bmp, PSNR, 27.004862, SSIM, 0.831876 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00790.bmp, PSNR, 38.724284, SSIM, 0.978300 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00880.bmp, PSNR, 27.237640, SSIM, 0.860403 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00892.bmp, PSNR, 26.418913, SSIM, 0.888685 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 00986.bmp, PSNR, 32.369235, SSIM, 0.919219 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01544.bmp, PSNR, 23.950703, SSIM, 0.814806 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 01594.bmp, PSNR, 25.690058, SSIM, 0.719381 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03266.bmp, PSNR, 39.362656, SSIM, 0.951297 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03275.bmp, PSNR, 24.991768, SSIM, 0.767105 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03499.bmp, PSNR, 39.041553, SSIM, 0.950178 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 03906.bmp, PSNR, 32.509768, SSIM, 0.877652 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04076.bmp, PSNR, 24.879703, SSIM, 0.769260 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04519.bmp, PSNR, 20.980006, SSIM, 0.630229 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.100000, Image_name, 04735.bmp, PSNR, 33.897516, SSIM, 0.913067 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00171.bmp, PSNR, 37.758614, SSIM, 0.962606 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00173.bmp, PSNR, 30.140462, SSIM, 0.846415 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00180.bmp, PSNR, 25.805244, SSIM, 0.892448 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00598.bmp, PSNR, 36.418092, SSIM, 0.968583 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00602.bmp, PSNR, 30.938101, SSIM, 0.920161 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00604.bmp, PSNR, 27.138733, SSIM, 0.765010 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00741.bmp, PSNR, 30.278200, SSIM, 0.909184 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00790.bmp, PSNR, 41.880608, SSIM, 0.988032 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00880.bmp, PSNR, 30.002714, SSIM, 0.922053 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00892.bmp, PSNR, 30.461299, SSIM, 0.944577 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 00986.bmp, PSNR, 35.610199, SSIM, 0.957280 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01544.bmp, PSNR, 26.656517, SSIM, 0.888646 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 01594.bmp, PSNR, 27.388330, SSIM, 0.782211 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03266.bmp, PSNR, 40.861523, SSIM, 0.960923 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03275.bmp, PSNR, 27.653795, SSIM, 0.852718 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03499.bmp, PSNR, 40.864805, SSIM, 0.962201 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 03906.bmp, PSNR, 35.063350, SSIM, 0.925785 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04076.bmp, PSNR, 27.142705, SSIM, 0.832700 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04519.bmp, PSNR, 22.803327, SSIM, 0.722081 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.150000, Image_name, 04735.bmp, PSNR, 36.414763, SSIM, 0.945503 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00171.bmp, PSNR, 39.502224, SSIM, 0.971911 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00173.bmp, PSNR, 32.040092, SSIM, 0.882396 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00180.bmp, PSNR, 27.218648, SSIM, 0.921462 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00598.bmp, PSNR, 38.535394, SSIM, 0.977498 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00602.bmp, PSNR, 33.380787, SSIM, 0.948899 
Denoiser, RCAN_5x5_dilated_17cases, Rate, 0.200000, Image_name, 00604.bmp, PSNR, 28.488086, SSIM, 0.819961 
