Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00001.bmp, PSNR, 32.805085, SSIM, 0.883595 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00004.bmp, PSNR, 15.532090, SSIM, 0.393407 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00013.bmp, PSNR, 18.971291, SSIM, 0.493204 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00021.bmp, PSNR, 30.079989, SSIM, 0.847847 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00026.bmp, PSNR, 30.994912, SSIM, 0.897213 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00102.bmp, PSNR, 25.407435, SSIM, 0.814900 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00135.bmp, PSNR, 25.384926, SSIM, 0.781680 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00883.bmp, PSNR, 29.279681, SSIM, 0.825463 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00888.bmp, PSNR, 22.340947, SSIM, 0.618574 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00947.bmp, PSNR, 18.219089, SSIM, 0.582421 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01068.bmp, PSNR, 26.869269, SSIM, 0.791907 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01712.bmp, PSNR, 20.353655, SSIM, 0.614371 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02174.bmp, PSNR, 26.939523, SSIM, 0.834943 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02748.bmp, PSNR, 30.352893, SSIM, 0.903268 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02771.bmp, PSNR, 26.745959, SSIM, 0.742394 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02834.bmp, PSNR, 30.568881, SSIM, 0.810123 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03427.bmp, PSNR, 22.224477, SSIM, 0.665493 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03769.bmp, PSNR, 22.124580, SSIM, 0.564174 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03903.bmp, PSNR, 30.295224, SSIM, 0.875324 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03945.bmp, PSNR, 28.845042, SSIM, 0.920722 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00001.bmp, PSNR, 36.654312, SSIM, 0.942936 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00004.bmp, PSNR, 17.110243, SSIM, 0.537896 
