Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00191.bmp, PSNR, 32.167148, SSIM, 0.880524 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00209.bmp, PSNR, 32.806481, SSIM, 0.886368 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00310.bmp, PSNR, 28.853839, SSIM, 0.833817 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00348.bmp, PSNR, 20.427666, SSIM, 0.643895 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00356.bmp, PSNR, 28.747487, SSIM, 0.838777 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00510.bmp, PSNR, 26.564309, SSIM, 0.775861 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00566.bmp, PSNR, 32.095496, SSIM, 0.921900 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00639.bmp, PSNR, 21.978348, SSIM, 0.753319 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00643.bmp, PSNR, 22.969768, SSIM, 0.714330 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00760.bmp, PSNR, 23.316618, SSIM, 0.686851 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00835.bmp, PSNR, 27.738671, SSIM, 0.811995 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00910.bmp, PSNR, 24.321581, SSIM, 0.734716 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00927.bmp, PSNR, 26.107944, SSIM, 0.793334 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01673.bmp, PSNR, 30.743059, SSIM, 0.907420 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02947.bmp, PSNR, 26.274629, SSIM, 0.771347 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02955.bmp, PSNR, 34.295318, SSIM, 0.921995 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03191.bmp, PSNR, 23.963106, SSIM, 0.774754 
