Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00689.bmp, PSNR, 21.787635, SSIM, 0.477877 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00705.bmp, PSNR, 35.948097, SSIM, 0.952808 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01043.bmp, PSNR, 24.894463, SSIM, 0.698988 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01048.bmp, PSNR, 31.470472, SSIM, 0.825932 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01276.bmp, PSNR, 45.467935, SSIM, 0.983447 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01283.bmp, PSNR, 15.800040, SSIM, 0.265042 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01706.bmp, PSNR, 24.825746, SSIM, 0.598732 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02315.bmp, PSNR, 24.484921, SSIM, 0.487131 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02817.bmp, PSNR, 36.152384, SSIM, 0.901037 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02830.bmp, PSNR, 32.485981, SSIM, 0.871677 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02831.bmp, PSNR, 18.359609, SSIM, 0.413155 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02832.bmp, PSNR, 31.577017, SSIM, 0.842080 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02917.bmp, PSNR, 21.131692, SSIM, 0.418153 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03337.bmp, PSNR, 23.561046, SSIM, 0.619095 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03400.bmp, PSNR, 27.230095, SSIM, 0.680089 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03403.bmp, PSNR, 28.506930, SSIM, 0.727276 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03439.bmp, PSNR, 22.611224, SSIM, 0.593537 
