Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00524.bmp, PSNR, 25.892779, SSIM, 0.701403 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00548.bmp, PSNR, 29.387085, SSIM, 0.781906 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00794.bmp, PSNR, 24.773665, SSIM, 0.762181 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01078.bmp, PSNR, 22.492900, SSIM, 0.710230 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01102.bmp, PSNR, 26.204251, SSIM, 0.698350 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01112.bmp, PSNR, 22.885223, SSIM, 0.522176 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01792.bmp, PSNR, 29.429824, SSIM, 0.782371 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01847.bmp, PSNR, 20.794321, SSIM, 0.595296 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01888.bmp, PSNR, 28.605476, SSIM, 0.769541 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02309.bmp, PSNR, 33.588623, SSIM, 0.907684 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02514.bmp, PSNR, 19.542159, SSIM, 0.326386 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 02515.bmp, PSNR, 26.848272, SSIM, 0.578728 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03143.bmp, PSNR, 23.617780, SSIM, 0.783863 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03152.bmp, PSNR, 24.568328, SSIM, 0.701562 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03168.bmp, PSNR, 21.570585, SSIM, 0.580588 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03584.bmp, PSNR, 22.129729, SSIM, 0.569167 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03848.bmp, PSNR, 38.140991, SSIM, 0.954289 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03896.bmp, PSNR, 32.720120, SSIM, 0.861933 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 04224.bmp, PSNR, 18.497104, SSIM, 0.345086 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 04474.bmp, PSNR, 23.365590, SSIM, 0.700415 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00524.bmp, PSNR, 28.808415, SSIM, 0.811787 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00548.bmp, PSNR, 33.218972, SSIM, 0.888233 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00794.bmp, PSNR, 28.922852, SSIM, 0.874462 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 01078.bmp, PSNR, 26.117647, SSIM, 0.851724 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 01102.bmp, PSNR, 29.047603, SSIM, 0.789702 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 01112.bmp, PSNR, 25.269232, SSIM, 0.662669 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 01792.bmp, PSNR, 33.176616, SSIM, 0.887872 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 01847.bmp, PSNR, 24.399789, SSIM, 0.763474 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 01888.bmp, PSNR, 32.615734, SSIM, 0.882890 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 02309.bmp, PSNR, 38.322905, SSIM, 0.962091 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 02514.bmp, PSNR, 21.049460, SSIM, 0.478910 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 02515.bmp, PSNR, 28.046396, SSIM, 0.645647 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 03143.bmp, PSNR, 28.476795, SSIM, 0.902456 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 03152.bmp, PSNR, 28.570245, SSIM, 0.872871 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 03168.bmp, PSNR, 22.616189, SSIM, 0.618959 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 03584.bmp, PSNR, 25.553858, SSIM, 0.742939 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 03848.bmp, PSNR, 40.939368, SSIM, 0.969676 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 03896.bmp, PSNR, 35.690153, SSIM, 0.909044 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 04224.bmp, PSNR, 19.978325, SSIM, 0.477946 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 04474.bmp, PSNR, 27.343758, SSIM, 0.850084 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00524.bmp, PSNR, 31.190258, SSIM, 0.878263 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00548.bmp, PSNR, 35.808465, SSIM, 0.932785 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00794.bmp, PSNR, 31.868561, SSIM, 0.928465 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 01078.bmp, PSNR, 29.004944, SSIM, 0.913382 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 01102.bmp, PSNR, 30.613213, SSIM, 0.834164 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 01112.bmp, PSNR, 27.274503, SSIM, 0.764769 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 01792.bmp, PSNR, 35.743138, SSIM, 0.931850 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 01847.bmp, PSNR, 26.905207, SSIM, 0.842100 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 01888.bmp, PSNR, 35.762859, SSIM, 0.938453 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 02309.bmp, PSNR, 40.119245, SSIM, 0.970849 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 02514.bmp, PSNR, 22.315560, SSIM, 0.589306 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 02515.bmp, PSNR, 29.279027, SSIM, 0.711102 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03143.bmp, PSNR, 31.876002, SSIM, 0.945573 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03152.bmp, PSNR, 32.234270, SSIM, 0.938510 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03168.bmp, PSNR, 23.846106, SSIM, 0.747389 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03584.bmp, PSNR, 27.844114, SSIM, 0.822761 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03848.bmp, PSNR, 42.733625, SSIM, 0.977828 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03896.bmp, PSNR, 37.242631, SSIM, 0.929881 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 04224.bmp, PSNR, 21.109509, SSIM, 0.578697 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 04474.bmp, PSNR, 30.338061, SSIM, 0.912678 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00524.bmp, PSNR, 33.082279, SSIM, 0.916201 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00548.bmp, PSNR, 37.330733, SSIM, 0.950348 
