Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00171.bmp, PSNR, 31.622558, SSIM, 0.905634 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00173.bmp, PSNR, 24.601028, SSIM, 0.707245 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00180.bmp, PSNR, 20.412180, SSIM, 0.668250 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00598.bmp, PSNR, 27.951688, SSIM, 0.883971 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00602.bmp, PSNR, 24.715507, SSIM, 0.731694 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00604.bmp, PSNR, 23.292862, SSIM, 0.550188 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00741.bmp, PSNR, 23.611200, SSIM, 0.682070 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00790.bmp, PSNR, 33.649703, SSIM, 0.951931 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00880.bmp, PSNR, 23.064243, SSIM, 0.686501 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00892.bmp, PSNR, 20.228090, SSIM, 0.656177 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00986.bmp, PSNR, 28.366000, SSIM, 0.827497 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01544.bmp, PSNR, 19.788755, SSIM, 0.614488 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01594.bmp, PSNR, 23.084338, SSIM, 0.594780 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03266.bmp, PSNR, 37.382678, SSIM, 0.937004 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03275.bmp, PSNR, 22.024609, SSIM, 0.612545 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03499.bmp, PSNR, 36.342847, SSIM, 0.931279 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 03906.bmp, PSNR, 29.249394, SSIM, 0.789647 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 04076.bmp, PSNR, 22.439512, SSIM, 0.677140 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 04519.bmp, PSNR, 18.823978, SSIM, 0.483520 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 04735.bmp, PSNR, 30.474512, SSIM, 0.842466 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00171.bmp, PSNR, 36.048990, SSIM, 0.951709 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00173.bmp, PSNR, 28.092564, SSIM, 0.799449 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00180.bmp, PSNR, 24.340290, SSIM, 0.852490 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00598.bmp, PSNR, 33.471138, SSIM, 0.950015 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00602.bmp, PSNR, 28.023648, SSIM, 0.858243 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00604.bmp, PSNR, 25.439294, SSIM, 0.679737 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00741.bmp, PSNR, 27.648723, SSIM, 0.853421 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00790.bmp, PSNR, 38.974567, SSIM, 0.979501 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00880.bmp, PSNR, 27.412836, SSIM, 0.860192 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00892.bmp, PSNR, 26.528259, SSIM, 0.890630 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 00986.bmp, PSNR, 32.567942, SSIM, 0.922367 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 01544.bmp, PSNR, 24.130382, SSIM, 0.818403 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 01594.bmp, PSNR, 25.820186, SSIM, 0.721616 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 03266.bmp, PSNR, 39.320834, SSIM, 0.951213 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 03275.bmp, PSNR, 25.114213, SSIM, 0.766285 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 03499.bmp, PSNR, 39.098224, SSIM, 0.951570 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 03906.bmp, PSNR, 32.447097, SSIM, 0.878486 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 04076.bmp, PSNR, 25.031648, SSIM, 0.782980 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 04519.bmp, PSNR, 20.904917, SSIM, 0.620705 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.100000, Image_name, 04735.bmp, PSNR, 34.242652, SSIM, 0.917155 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00171.bmp, PSNR, 37.790525, SSIM, 0.963800 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00173.bmp, PSNR, 30.217667, SSIM, 0.845231 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00180.bmp, PSNR, 26.065277, SSIM, 0.897616 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00598.bmp, PSNR, 36.767362, SSIM, 0.970157 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00602.bmp, PSNR, 30.959858, SSIM, 0.920804 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00604.bmp, PSNR, 27.166431, SSIM, 0.767402 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00741.bmp, PSNR, 30.682478, SSIM, 0.913899 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00790.bmp, PSNR, 42.353270, SSIM, 0.989231 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00880.bmp, PSNR, 30.201958, SSIM, 0.922897 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00892.bmp, PSNR, 30.832885, SSIM, 0.948288 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 00986.bmp, PSNR, 35.584016, SSIM, 0.955951 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 01544.bmp, PSNR, 26.974075, SSIM, 0.893014 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 01594.bmp, PSNR, 27.560637, SSIM, 0.791093 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03266.bmp, PSNR, 40.906253, SSIM, 0.961441 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03275.bmp, PSNR, 27.619229, SSIM, 0.850405 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03499.bmp, PSNR, 41.058691, SSIM, 0.963073 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 03906.bmp, PSNR, 35.178037, SSIM, 0.925709 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 04076.bmp, PSNR, 27.351878, SSIM, 0.836130 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 04519.bmp, PSNR, 23.006219, SSIM, 0.730546 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.150000, Image_name, 04735.bmp, PSNR, 36.571169, SSIM, 0.946462 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00171.bmp, PSNR, 39.710657, SSIM, 0.973255 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00173.bmp, PSNR, 32.144154, SSIM, 0.886287 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.200000, Image_name, 00180.bmp, PSNR, 27.625735, SSIM, 0.925592 
