Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00170.bmp, PSNR, 29.119918, SSIM, 0.818239 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00228.bmp, PSNR, 33.588230, SSIM, 0.855388 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00232.bmp, PSNR, 30.993011, SSIM, 0.884897 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00242.bmp, PSNR, 26.058627, SSIM, 0.583802 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00244.bmp, PSNR, 23.824445, SSIM, 0.629443 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00246.bmp, PSNR, 39.539817, SSIM, 0.980218 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00249.bmp, PSNR, 24.633791, SSIM, 0.670060 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00258.bmp, PSNR, 33.258382, SSIM, 0.946758 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00415.bmp, PSNR, 22.684043, SSIM, 0.760303 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00471.bmp, PSNR, 29.979897, SSIM, 0.841595 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00559.bmp, PSNR, 26.786408, SSIM, 0.799737 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00560.bmp, PSNR, 23.681750, SSIM, 0.650120 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 00733.bmp, PSNR, 25.084683, SSIM, 0.817522 
Denoiser, RCAN_5x5_dilated_17cases+, Rate, 0.050000, Image_name, 01279.bmp, PSNR, 22.267102, SSIM, 0.682462 
