Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00238.bmp, PSNR, 13.351766, SSIM, 0.234999 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00467.bmp, PSNR, 18.858613, SSIM, 0.386891 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00641.bmp, PSNR, 20.999723, SSIM, 0.374591 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00766.bmp, PSNR, 18.058925, SSIM, 0.380815 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00767.bmp, PSNR, 21.890359, SSIM, 0.459572 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01034.bmp, PSNR, 24.937582, SSIM, 0.456977 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01631.bmp, PSNR, 21.048534, SSIM, 0.418249 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01660.bmp, PSNR, 19.853944, SSIM, 0.385228 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 02827.bmp, PSNR, 22.453917, SSIM, 0.553602 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 02913.bmp, PSNR, 20.749115, SSIM, 0.357248 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03083.bmp, PSNR, 20.030377, SSIM, 0.455051 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03581.bmp, PSNR, 25.148609, SSIM, 0.485255 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03766.bmp, PSNR, 19.963402, SSIM, 0.360525 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03907.bmp, PSNR, 24.524568, SSIM, 0.417533 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04134.bmp, PSNR, 24.874922, SSIM, 0.478303 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04576.bmp, PSNR, 21.137239, SSIM, 0.546556 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04582.bmp, PSNR, 18.266194, SSIM, 0.402947 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04694.bmp, PSNR, 23.174086, SSIM, 0.601614 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04695.bmp, PSNR, 23.654054, SSIM, 0.408052 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04699.bmp, PSNR, 24.378056, SSIM, 0.468834 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00238.bmp, PSNR, 13.840222, SSIM, 0.265382 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00467.bmp, PSNR, 19.320595, SSIM, 0.407731 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00641.bmp, PSNR, 21.285149, SSIM, 0.387660 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00766.bmp, PSNR, 18.502779, SSIM, 0.376029 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00767.bmp, PSNR, 22.656204, SSIM, 0.398573 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 01034.bmp, PSNR, 24.209953, SSIM, 0.403346 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 01631.bmp, PSNR, 22.772209, SSIM, 0.475093 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 01660.bmp, PSNR, 22.538068, SSIM, 0.519832 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 02827.bmp, PSNR, 23.876350, SSIM, 0.432403 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 02913.bmp, PSNR, 22.292520, SSIM, 0.405771 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 03083.bmp, PSNR, 22.140701, SSIM, 0.435957 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 03581.bmp, PSNR, 25.924499, SSIM, 0.506451 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 03766.bmp, PSNR, 20.251771, SSIM, 0.362036 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 03907.bmp, PSNR, 26.199906, SSIM, 0.536893 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 04134.bmp, PSNR, 25.238726, SSIM, 0.466829 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 04576.bmp, PSNR, 23.786295, SSIM, 0.493834 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 04582.bmp, PSNR, 18.739576, SSIM, 0.393025 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 04694.bmp, PSNR, 23.538182, SSIM, 0.569344 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 04695.bmp, PSNR, 24.671595, SSIM, 0.454418 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 04699.bmp, PSNR, 24.049069, SSIM, 0.578348 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 00238.bmp, PSNR, 14.105358, SSIM, 0.292840 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 00467.bmp, PSNR, 22.842218, SSIM, 0.613530 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 00641.bmp, PSNR, 23.291095, SSIM, 0.484663 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 00766.bmp, PSNR, 22.960973, SSIM, 0.620265 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 00767.bmp, PSNR, 25.970497, SSIM, 0.583736 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 01034.bmp, PSNR, 29.165839, SSIM, 0.656713 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 01631.bmp, PSNR, 23.890914, SSIM, 0.549854 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 01660.bmp, PSNR, 25.115864, SSIM, 0.669281 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 02827.bmp, PSNR, 24.976027, SSIM, 0.501286 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 02913.bmp, PSNR, 22.818765, SSIM, 0.455504 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03083.bmp, PSNR, 23.712373, SSIM, 0.516799 
