Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00689.bmp, PSNR, 19.390470, SSIM, 0.314688 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00705.bmp, PSNR, 26.030455, SSIM, 0.784212 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01043.bmp, PSNR, 21.965387, SSIM, 0.493686 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01048.bmp, PSNR, 24.447730, SSIM, 0.410111 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01276.bmp, PSNR, 26.354067, SSIM, 0.418395 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01283.bmp, PSNR, 15.149481, SSIM, 0.194330 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01706.bmp, PSNR, 21.708983, SSIM, 0.426922 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 02315.bmp, PSNR, 21.741025, SSIM, 0.357924 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 02817.bmp, PSNR, 29.619501, SSIM, 0.805294 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 02830.bmp, PSNR, 26.039657, SSIM, 0.685832 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 02831.bmp, PSNR, 16.718760, SSIM, 0.242860 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 02832.bmp, PSNR, 24.883820, SSIM, 0.684496 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 02917.bmp, PSNR, 19.174248, SSIM, 0.263808 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03337.bmp, PSNR, 20.166690, SSIM, 0.407847 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03400.bmp, PSNR, 22.980851, SSIM, 0.354584 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03403.bmp, PSNR, 24.637102, SSIM, 0.429618 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03439.bmp, PSNR, 19.244947, SSIM, 0.342228 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03589.bmp, PSNR, 17.019467, SSIM, 0.283163 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04208.bmp, PSNR, 16.494932, SSIM, 0.257254 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04733.bmp, PSNR, 21.214237, SSIM, 0.492377 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00689.bmp, PSNR, 20.906355, SSIM, 0.399250 
