Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00524.bmp, PSNR, 20.972130, SSIM, 0.433384 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00548.bmp, PSNR, 22.257333, SSIM, 0.504723 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00794.bmp, PSNR, 19.167324, SSIM, 0.452982 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01078.bmp, PSNR, 17.523949, SSIM, 0.343611 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01102.bmp, PSNR, 19.779651, SSIM, 0.439203 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01112.bmp, PSNR, 19.821588, SSIM, 0.353015 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01792.bmp, PSNR, 22.553129, SSIM, 0.514992 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01847.bmp, PSNR, 17.044416, SSIM, 0.309787 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01888.bmp, PSNR, 21.547647, SSIM, 0.475634 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 02309.bmp, PSNR, 24.245711, SSIM, 0.462332 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 02514.bmp, PSNR, 18.130257, SSIM, 0.201841 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 02515.bmp, PSNR, 24.305754, SSIM, 0.487533 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03143.bmp, PSNR, 16.908055, SSIM, 0.356761 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03152.bmp, PSNR, 19.895437, SSIM, 0.336095 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03168.bmp, PSNR, 20.176521, SSIM, 0.431301 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03584.bmp, PSNR, 18.281081, SSIM, 0.295007 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03848.bmp, PSNR, 25.250810, SSIM, 0.472335 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03896.bmp, PSNR, 23.418245, SSIM, 0.618590 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04224.bmp, PSNR, 16.944085, SSIM, 0.217282 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04474.bmp, PSNR, 18.943879, SSIM, 0.379806 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00524.bmp, PSNR, 23.020635, SSIM, 0.434310 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00548.bmp, PSNR, 22.929583, SSIM, 0.505082 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00794.bmp, PSNR, 21.825099, SSIM, 0.500473 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 01078.bmp, PSNR, 18.186538, SSIM, 0.364873 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 01102.bmp, PSNR, 21.933251, SSIM, 0.441995 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 01112.bmp, PSNR, 20.263264, SSIM, 0.364859 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 01792.bmp, PSNR, 22.871868, SSIM, 0.504593 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 01847.bmp, PSNR, 17.436951, SSIM, 0.317909 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 01888.bmp, PSNR, 23.524615, SSIM, 0.458382 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 02309.bmp, PSNR, 25.531002, SSIM, 0.515539 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 02514.bmp, PSNR, 18.402816, SSIM, 0.251021 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 02515.bmp, PSNR, 23.709712, SSIM, 0.365817 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 03143.bmp, PSNR, 17.392883, SSIM, 0.355052 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 03152.bmp, PSNR, 20.178487, SSIM, 0.345287 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 03168.bmp, PSNR, 20.831939, SSIM, 0.357034 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 03584.bmp, PSNR, 18.906468, SSIM, 0.328850 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 03848.bmp, PSNR, 26.008446, SSIM, 0.489455 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 03896.bmp, PSNR, 26.437226, SSIM, 0.552580 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 04224.bmp, PSNR, 17.371312, SSIM, 0.270292 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 04474.bmp, PSNR, 20.881476, SSIM, 0.430252 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 00524.bmp, PSNR, 24.972490, SSIM, 0.557740 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 00548.bmp, PSNR, 26.066218, SSIM, 0.569272 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 00794.bmp, PSNR, 24.371250, SSIM, 0.632618 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 01078.bmp, PSNR, 22.212356, SSIM, 0.616676 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 01102.bmp, PSNR, 23.741833, SSIM, 0.523206 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 01112.bmp, PSNR, 22.483674, SSIM, 0.465433 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 01792.bmp, PSNR, 26.234481, SSIM, 0.577107 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 01847.bmp, PSNR, 21.970612, SSIM, 0.603139 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 01888.bmp, PSNR, 26.225691, SSIM, 0.609399 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 02309.bmp, PSNR, 28.225743, SSIM, 0.651877 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 02514.bmp, PSNR, 20.337422, SSIM, 0.437632 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 02515.bmp, PSNR, 24.262448, SSIM, 0.409262 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03143.bmp, PSNR, 22.774521, SSIM, 0.640579 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03152.bmp, PSNR, 23.192272, SSIM, 0.547037 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03168.bmp, PSNR, 20.881200, SSIM, 0.365153 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03584.bmp, PSNR, 21.674811, SSIM, 0.500504 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03848.bmp, PSNR, 29.995039, SSIM, 0.691268 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 03896.bmp, PSNR, 29.560082, SSIM, 0.697248 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 04224.bmp, PSNR, 18.954598, SSIM, 0.415574 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.150000, Image_name, 04474.bmp, PSNR, 22.905296, SSIM, 0.558089 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00524.bmp, PSNR, 26.795394, SSIM, 0.664529 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00548.bmp, PSNR, 28.883504, SSIM, 0.716564 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 00794.bmp, PSNR, 26.553696, SSIM, 0.728450 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01078.bmp, PSNR, 24.412534, SSIM, 0.732134 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01102.bmp, PSNR, 25.859567, SSIM, 0.642921 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01112.bmp, PSNR, 24.372718, SSIM, 0.587398 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01792.bmp, PSNR, 28.902427, SSIM, 0.716245 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01847.bmp, PSNR, 24.297300, SSIM, 0.727393 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 01888.bmp, PSNR, 28.830592, SSIM, 0.734524 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 02309.bmp, PSNR, 29.893260, SSIM, 0.728036 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 02514.bmp, PSNR, 21.744855, SSIM, 0.556954 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 02515.bmp, PSNR, 26.273234, SSIM, 0.526667 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03143.bmp, PSNR, 24.933404, SSIM, 0.737666 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03152.bmp, PSNR, 25.453247, SSIM, 0.681530 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03168.bmp, PSNR, 22.098933, SSIM, 0.451848 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.200000, Image_name, 03584.bmp, PSNR, 23.913492, SSIM, 0.641781 
