Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00171.bmp, PSNR, 21.263587, SSIM, 0.575045 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00173.bmp, PSNR, 19.876284, SSIM, 0.445842 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00180.bmp, PSNR, 16.322243, SSIM, 0.225472 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00598.bmp, PSNR, 18.685841, SSIM, 0.461208 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00602.bmp, PSNR, 20.882800, SSIM, 0.474847 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00604.bmp, PSNR, 20.095920, SSIM, 0.329830 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00741.bmp, PSNR, 19.181083, SSIM, 0.351978 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00790.bmp, PSNR, 20.266821, SSIM, 0.541135 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00880.bmp, PSNR, 17.740594, SSIM, 0.324526 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00892.bmp, PSNR, 16.402673, SSIM, 0.376211 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 00986.bmp, PSNR, 21.578466, SSIM, 0.500333 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01544.bmp, PSNR, 16.145111, SSIM, 0.343052 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 01594.bmp, PSNR, 18.870223, SSIM, 0.348453 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03266.bmp, PSNR, 24.991166, SSIM, 0.489891 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03275.bmp, PSNR, 18.342293, SSIM, 0.360683 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03499.bmp, PSNR, 25.709845, SSIM, 0.500629 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 03906.bmp, PSNR, 22.067872, SSIM, 0.514490 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04076.bmp, PSNR, 19.074024, SSIM, 0.421712 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04519.bmp, PSNR, 16.751676, SSIM, 0.285513 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.050000, Image_name, 04735.bmp, PSNR, 22.055697, SSIM, 0.560921 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00171.bmp, PSNR, 23.112983, SSIM, 0.458993 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00173.bmp, PSNR, 21.586653, SSIM, 0.414701 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00180.bmp, PSNR, 16.591654, SSIM, 0.285898 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00598.bmp, PSNR, 18.984145, SSIM, 0.412482 
Denoiser, RCAN_5x5_dilated_1case, Rate, 0.100000, Image_name, 00602.bmp, PSNR, 21.187877, SSIM, 0.450068 
